,snail_ID,x,y,z,code,RW1,RW2,length_mm,CS,line_x,line_y,dist_from_line,DistAlongPath
1,ANG001,17.422,2.527,-3.366,SN,0.00809,0.124,10.509,16.57202189,16.0952,1.8636,1.483407496,83.85935305
2,ANG002,16.709,2.368,-3.327,SN,0.0814,0.0319,4.835,7.674456257,16.709,1.736,0.949792083,83.63743857
3,ANG003,16.041,3.16,-3.225,SN,0.00235,-0.0204,8.672,12.46666542,16.0722,3.1756,0.03488266,82.90883605
4,ANG004,15.827,2.973,-3.307,SN,-0.0765,0.112,11.515,16.80138738,15.827,2.946,0.027,82.54648811
5,ANG005,14.359,2.711,-3.23,SN,0.0499,0.0616,6.906,10.6111329,14.359,2.422,0.289,81.19578148
6,ANG006,13.881,-1.929,-3.222,SN,0.049,0.0704,6.124,9.727975044,11.89205882,-2.426235294,2.050153638,74.19673505
7,ANG007,13.394,-1.85,-3.387,SN,-0.0578,0.0854,13.657,20.260816,11.882,-2.228,1.558533926,74.38169705
8,ANG008,12.822,-1.638,-3.254,SN,0.0455,0.0866,7.35,11.45217919,11.89823529,-1.868941176,0.952194864,74.73011531
9,ANG009,12.732,-1.761,-3.276,SN,-0.0136,0.0416,12.184,17.6168195,11.864,-1.978,0.894713921,74.61584564
10,ANG010,12.726,-1.76,-3.275,SN,0.0334,0.0987,10.529,16.08462042,11.86388235,-1.975529412,0.88865053,74.61818881
11,ANG011,12.659,-2.02,-3.273,SN,0.11,0.0417,6.752,10.81898392,11.79876471,-2.235058824,0.886710245,74.35076825
12,ANG012,12.816,-0.02,-3.113,SN,0.112,0.00659,5.637,8.611327205,12.27858824,-0.154352941,0.553951368,76.48425628
13,ANG013,11.599,-1.01,-2.848,SN,0.0595,0.0491,5.486,8.382251519,11.97405882,-0.916235294,0.386601786,75.67108521
14,ANG014,13.769,4.063,-3.07,SN,0.041,0.0089,8.053,11.89482783,13.769,5.126,1.063,81.97977692
15,ANG015,13.735,3.798,-3.082,SN,0.08,0.00713,8.866,13.41241313,13.735,4.596,0.798,81.47608397
16,ANG016,13.178,2.281,-3.297,SN,0.0778,0.0808,8.092,12.62933016,12.84129412,2.196823529,0.347068479,78.90139717
