snail_ID,brood,penis,trematodes,ciliates_diss,sex_dissection,notes
ANG312,NA,NA,NA,NA,NA,dead
ANG404,NA,NA,NA,NA,NA,dead
ANG431,NA,NA,NA,NA,NA,empty
ANG466,NA,NA,NA,NA,NA,empty
ANG001,Y,N,N,NA,female,
ANG003,Y,N,N,NA,female,
ANG004,Y,N,N,NA,female,
ANG007,Y,N,N,NA,female,
ANG009,Y,N,N,NA,female,
ANG010,Y,N,N,NA,female,
ANG024,Y,N,N,NA,female,
ANG026,Y,N,N,NA,female,
ANG030,Y,N,N,NA,female,
ANG032,Y,N,N,NA,female,
ANG051,Y,N,N,NA,female,
ANG056,Y,N,N,NA,female,
ANG057,Y,N,N,NA,female,
ANG067,Y,N,N,NA,female,
ANG068,Y,N,N,NA,female,
ANG074,Y,N,N,NA,female,
ANG082,Y,N,N,NA,female,
ANG084,Y,N,N,NA,female,
ANG085,Y,N,N,NA,female,
ANG089,Y,N,N,NA,female,
ANG093,Y,N,N,NA,female,
ANG097,Y,N,N,NA,female,
ANG101,Y,N,N,NA,female,
ANG102,Y,N,N,NA,female,
ANG103,Y,N,N,NA,female,
ANG105,Y,N,N,NA,female,
ANG113,Y,N,N,NA,female,
ANG115,Y,N,N,NA,female,
ANG116,Y,N,N,NA,female,
ANG117,Y,N,N,NA,female,
ANG119,Y,N,N,NA,female,
ANG121,Y,N,N,NA,female,
ANG122,Y,N,N,NA,female,
ANG123,Y,N,N,NA,female,
ANG126,Y,N,N,NA,female,
ANG128,Y,N,N,NA,female,
ANG129,Y,N,N,NA,female,
ANG131,Y,N,N,NA,female,
ANG132,Y,N,N,NA,female,
ANG133,Y,N,N,NA,female,
ANG136,Y,N,N,NA,female,
ANG137,Y,N,N,NA,female,
ANG138,Y,N,N,NA,female,
ANG139,Y,N,N,NA,female,
ANG141,Y,N,N,NA,female,
ANG143,Y,N,N,NA,female,
ANG144,Y,N,N,NA,female,
ANG146,Y,N,N,NA,female,
ANG148,Y,N,N,NA,female,
ANG149,Y,N,N,NA,female,
ANG150,Y,N,N,NA,female,
ANG151,Y,N,N,NA,female,
ANG152,Y,N,N,NA,female,
ANG153,Y,N,N,NA,female,
ANG155,Y,N,N,NA,female,
ANG157,Y,N,N,NA,female,
ANG158,Y,N,N,NA,female,
ANG163,Y,N,N,NA,female,
ANG164,Y,N,N,NA,female,
ANG165,Y,N,N,NA,female,
ANG168,Y,N,N,NA,female,
ANG169,Y,N,N,NA,female,
ANG172,Y,N,N,NA,female,
ANG174,Y,N,N,NA,female,
ANG175,Y,N,N,NA,female,
ANG178,Y,N,N,NA,female,
ANG179,Y,N,N,NA,female,
ANG180,Y,N,N,NA,female,
ANG182,Y,N,N,NA,female,
ANG186,Y,N,N,NA,female,
ANG187,Y,N,N,NA,female,
ANG191,Y,N,N,NA,female,
ANG192,Y,N,N,NA,female,
ANG193,Y,N,N,NA,female,
ANG195,Y,N,N,NA,female,
ANG197,Y,N,N,NA,female,
ANG198,Y,N,N,NA,female,
ANG200,Y,N,N,NA,female,
ANG202,Y,N,N,NA,female,
ANG203,Y,N,N,NA,female,
ANG204,Y,N,N,NA,female,
ANG205,Y,N,N,NA,female,
ANG206,Y,N,N,NA,female,
ANG214,Y,N,N,NA,female,
ANG218,Y,N,N,NA,female,
ANG219,Y,N,N,NA,female,
ANG222,Y,N,N,NA,female,
ANG224,Y,N,N,NA,female,
ANG226,Y,N,N,NA,female,
ANG227,Y,N,N,NA,female,
ANG229,Y,N,N,NA,female,
ANG233,Y,N,N,NA,female,
ANG234,Y,N,N,NA,female,
ANG236,Y,N,N,NA,female,
ANG238,Y,N,N,NA,female,
ANG239,Y,N,N,NA,female,
ANG240,Y,N,N,NA,female,
ANG241,Y,N,N,NA,female,
ANG243,Y,N,N,NA,female,
ANG244,Y,N,N,NA,female,
ANG245,Y,N,N,NA,female,
ANG247,Y,N,N,NA,female,
ANG249,Y,N,N,NA,female,
ANG251,Y,N,N,NA,female,
ANG254,Y,N,N,NA,female,
ANG255,Y,N,N,NA,female,
ANG256,Y,N,N,NA,female,
ANG259,Y,N,N,NA,female,
ANG260,Y,N,N,NA,female,
ANG261,Y,N,N,NA,female,
ANG262,Y,N,N,NA,female,
ANG263,Y,N,N,NA,female,
ANG264,Y,N,N,NA,female,
ANG266,Y,N,N,NA,female,
ANG268,Y,N,N,NA,female,
ANG269,Y,N,N,NA,female,
ANG270,Y,N,N,NA,female,
ANG271,Y,N,N,NA,female,
ANG272,Y,N,N,NA,female,
ANG273,Y,N,N,NA,female,
ANG275,Y,N,N,NA,female,
ANG277,Y,N,N,NA,female,
ANG278,Y,N,N,NA,female,
ANG288,Y,N,N,NA,female,
ANG295,Y,N,N,NA,female,
ANG308,Y,N,N,NA,female,
ANG309,Y,N,N,NA,female,
ANG315,Y,N,N,NA,female,
ANG317,Y,N,N,NA,female,
ANG318,Y,N,N,NA,female,
ANG320,Y,N,N,NA,female,
