"snail_ID","sex_dissection","DistAlongPath","ecotype"
"ANG101","female",65.4565481,"Crab"
"ANG102","female",67.21820643,"Crab"
"ANG103","female",65.49429513,"Crab"
"ANG105","female",67.8365451,"Crab"
"ANG113","female",67.34345839,"Crab"
"ANG115","female",67.89268359,"Crab"
"ANG116","female",67.59545101,"Crab"
"ANG117","female",66.92915659,"Crab"
"ANG119","female",66.82809393,"Crab"
"ANG121","female",67.12355737,"Crab"
"ANG122","female",67.68727845,"Crab"
"ANG123","female",67.72830058,"Crab"
"ANG126","female",66.83919322,"Crab"
"ANG128","female",67.50518475,"Crab"
"ANG129","female",66.24375681,"Crab"
"ANG131","female",62.81186175,"Crab"
"ANG132","female",62.91651172,"Crab"
"ANG133","female",64.35493028,"Crab"
"ANG136","female",66.63022003,"Crab"
"ANG137","female",66.53590764,"Crab"
"ANG138","female",65.2430416,"Crab"
"ANG139","female",64.62341077,"Crab"
"ANG141","female",63.56092961,"Crab"
"ANG143","female",64.63765046,"Crab"
"ANG144","female",64.70127189,"Crab"
"ANG146","female",63.93488847,"Crab"
"ANG148","female",63.73577562,"Crab"
"ANG149","female",63.32221931,"Crab"
"ANG150","female",62.83608444,"Crab"
"ANG151","female",62.46153785,"Crab"
"ANG152","female",61.89090794,"Crab"
"ANG153","female",62.9093096,"Crab"
"ANG155","female",61.63296822,"Crab"
"ANG158","female",62.31478938,"Crab"
"ANG163","female",60.90736533,"Crab"
"ANG164","female",60.69137807,"Crab"
"ANG168","female",62.48543239,"Crab"
"ANG169","female",63.11653615,"Crab"
"ANG172","female",61.4558427,"Crab"
"ANG174","female",60.39057284,"Crab"
"ANG175","female",60.67726037,"Crab"
"ANG178","female",60.66315553,"Crab"
"ANG179","female",62.05165194,"Crab"
"ANG180","female",62.37827405,"Crab"
"ANG182","female",59.84670372,"Crab"
"ANG186","female",59.60652288,"Crab"
"ANG187","female",59.59895156,"Crab"
"ANG191","female",58.84295721,"Crab"
"ANG192","female",58.94146739,"Crab"
"ANG193","female",57.03809614,"Crab"
"ANG195","female",58.43680446,"Crab"
"ANG197","female",60.09727125,"Crab"
"ANG198","female",59.31937543,"Crab"
"ANG200","female",59.30779979,"Crab"
"ANG202","female",59.29739421,"Crab"
"ANG203","female",58.7489834,"Crab"
"ANG204","female",58.98421662,"Crab"
"ANG205","female",57.55545789,"Crab"
"ANG206","female",55.93309397,"Crab"
"ANG214","female",54.69340067,"Crab"
"ANG218","female",54.25447494,"Crab"
"ANG219","female",54.03392524,"Crab"
"ANG222","female",52.98690139,"Crab"
"ANG224","female",52.01161632,"Crab"
"ANG226","female",50.32453881,"Crab"
"ANG227","female",49.84610246,"Crab"
"ANG229","female",51.28983725,"Crab"
"ANG233","female",50.63714262,"Crab"
"ANG234","female",49.20038033,"Crab"
"ANG236","female",49.83779156,"Crab"
"ANG238","female",48.84735547,"Crab"
"ANG239","female",49.15983918,"Crab"
"ANG240","female",46.94879549,"Crab"
"ANG241","female",48.13024487,"Crab"
"ANG243","female",47.38743443,"Crab"
"ANG244","female",45.03195482,"Crab"
"ANG245","female",45.61365816,"Crab"
"ANG247","female",46.24462926,"Crab"
