"snail_ID","Axis1","Axis2","ecotype.x","sex_dissection","DistAlongPath","ecotype.y","group","cluster"
"ANG001",-14.2950564920507,0.814577329164396,"NA","female",83.85935305,"Hybrid",NA,"1"
"ANG003",-10.8972576736365,4.92404377552793,"NA","female",82.90883605,"Hybrid",NA,"1"
"ANG004",-9.10691638823291,-7.04498230094122,"NA","female",82.54648811,"Hybrid",NA,"1"
"ANG007",-13.5541511299398,6.46320482323187,"NA","female",74.38169705,"Hybrid",NA,"1"
"ANG024",-0.0180752624744067,-0.0261370699725469,"NA","female",78.54297942,"Hybrid",NA,"1"
"ANG026",-11.4922834264569,-2.66808835562856,"NA","female",79.4047081,"Hybrid",NA,"1"
"ANG030",-11.9667218382419,-1.20148845270824,"NA","female",82.58148687,"Hybrid",NA,"1"
"ANG051",-11.3021920911548,-5.78291222333849,"NA","female",74.09284899,"Hybrid",NA,"1"
"ANG056",-8.90161248857971,-13.7047472779569,"NA","female",72.2487465,"Hybrid",NA,"1"
"ANG057",-12.0853081254002,-16.2705120524393,"NA","female",72.41392268,"Hybrid",NA,"1"
"ANG067",-11.3623300364945,-5.98950459621067,"NA","female",72.57496647,"Hybrid",NA,"1"
"ANG068",47.4761062450555,-0.53968605958469,"NA","female",72.54404242,"Hybrid",NA,"2"
"ANG074",-11.491914878354,15.2681317782378,"NA","female",71.59132711,"Hybrid",NA,"1"
"ANG082",-11.100039739667,9.67079962498165,"NA","female",72.0917108,"Hybrid",NA,"1"
"ANG084",-12.7991843731381,-14.9680425010827,"NA","female",71.59140547,"Hybrid",NA,"1"
"ANG085",-10.3338679484375,-3.12031655715543,"NA","female",71.88745623,"Hybrid",NA,"1"
"ANG089",-12.8508461075073,-0.66428175621483,"NA","female",69.377303,"Hybrid",NA,"1"
"ANG093",-12.0210870085174,-3.78639075516879,"NA","female",69.98810469,"Hybrid",NA,"1"
"ANG097",-9.57779759811176,-9.09674533292647,"NA","female",69.17718076,"Hybrid",NA,"1"
"ANG101",-11.844161536142,-11.0595468026246,"Crab","female",65.4565481,"Crab","C_F","1"
"ANG102",-10.8460989143733,-3.57816377777914,"Crab","female",67.21820643,"Crab","C_F","1"
"ANG103",-12.7222108517477,-8.74671090786569,"Crab","female",65.49429513,"Crab","C_F","1"
"ANG105",-11.9149198211134,4.72441720325689,"Crab","female",67.8365451,"Crab","C_F","1"
"ANG113",-11.2943979830097,4.94776266464323,"Crab","female",67.34345839,"Crab","C_F","1"
"ANG115",-2.50265699067349,-2.64087153407177,"Crab","female",67.89268359,"Crab","C_F","1"
"ANG116",-9.71088155546072,-2.4540557542563,"Crab","female",67.59545101,"Crab","C_F","1"
"ANG117",-9.74610909078158,-7.56893725017714,"Crab","female",66.92915659,"Crab","C_F","1"
"ANG119",-12.0599730037928,1.68836728238728,"Crab","female",66.82809393,"Crab","C_F","1"
"ANG121",-11.456566012092,-15.3413926497398,"Crab","female",67.12355737,"Crab","C_F","1"
"ANG123",-13.859196284527,1.87701604246921,"Crab","female",67.72830058,"Crab","C_F","1"
"ANG126",-9.22484118865708,1.11742442232765,"Crab","female",66.83919322,"Crab","C_F","1"
"ANG129",-14.2762629542774,-3.55834755961632,"Crab","female",66.24375681,"Crab","C_F","1"
"ANG131",-11.5419301305754,-4.31020180231068,"Crab","female",62.81186175,"Crab","C_F","1"
"ANG132",-11.3063750944399,-10.2037873351792,"Crab","female",62.91651172,"Crab","C_F","1"
"ANG133",-12.9446566421385,-3.50984469505491,"Crab","female",64.35493028,"Crab","C_F","1"
"ANG136",-12.5872610466587,-5.90713039982752,"Crab","female",66.63022003,"Crab","C_F","1"
"ANG137",-13.0667990293625,8.3932173983484,"Crab","female",66.53590764,"Crab","C_F","1"
"ANG138",-11.2960563849077,-7.87764883469444,"Crab","female",65.2430416,"Crab","C_F","1"
"ANG141",-12.8420360757008,0.27753846472195,"Crab","female",63.56092961,"Crab","C_F","1"
"ANG143",-11.8349684662169,-1.63685878978005,"Crab","female",64.63765046,"Crab","C_F","1"
"ANG144",-12.7423264717386,-7.54928282656648,"Crab","female",64.70127189,"Crab","C_F","1"
"ANG146",-12.2614131437642,2.21442093082032,"Crab","female",63.93488847,"Crab","C_F","1"
"ANG149",-10.7609770275214,10.8132906421163,"Crab","female",63.32221931,"Crab","C_F","1"
"ANG150",-11.3949599853787,0.374762944733011,"Crab","female",62.83608444,"Crab","C_F","1"
"ANG151",-10.7784264301628,-13.1927708228388,"Crab","female",62.46153785,"Crab","C_F","1"
"ANG152",-11.1090880863766,-1.95046295265689,"Crab","female",61.89090794,"Crab","C_F","1"
"ANG153",-12.8567942721961,4.40329621281487,"Crab","female",62.9093096,"Crab","C_F","1"
"ANG155",-11.5022093341508,-16.5179413186367,"Crab","female",61.63296822,"Crab","C_F","1"
"ANG157",-7.50782276086167,-12.0715211459023,"NA","female",NA,NA,NA,"1"
"ANG158",-11.7391202046211,2.29418891067976,"Crab","female",62.31478938,"Crab","C_F","1"
"ANG163",-12.0141753936745,5.66844160099867,"Crab","female",60.90736533,"Crab","C_F","1"
"ANG164",-12.4855132330618,0.278210475727082,"Crab","female",60.69137807,"Crab","C_F","1"
"ANG165",-11.1148878857496,-1.68158120187652,"NA","female",NA,NA,NA,"1"
"ANG168",-11.9585736787311,-2.67594147328878,"Crab","female",62.48543239,"Crab","C_F","1"
"ANG169",-10.9976814772253,-7.3354285584552,"Crab","female",63.11653615,"Crab","C_F","1"
"ANG172",-10.3845118676587,-1.6718078215355,"Crab","female",61.4558427,"Crab","C_F","1"
"ANG174",-13.3388772733325,-6.4444455754482,"Crab","female",60.39057284,"Crab","C_F","1"
"ANG175",-11.5246936792487,-15.5062289323822,"Crab","female",60.67726037,"Crab","C_F","1"
"ANG178",-11.2324518771538,-2.72092928414949,"Crab","female",60.66315553,"Crab","C_F","1"
"ANG179",-12.6910058967684,-6.06457044608195,"Crab","female",62.05165194,"Crab","C_F","1"
"ANG180",-11.4783466101794,-12.6355729390865,"Crab","female",62.37827405,"Crab","C_F","1"
"ANG182",-13.1331157771877,1.69163287540024,"Crab","female",59.84670372,"Crab","C_F","1"
"ANG186",-11.9136521251548,-3.63793232601569,"Crab","female",59.60652288,"Crab","C_F","1"
"ANG187",-13.9310152613354,-10.0604655982353,"Crab","female",59.59895156,"Crab","C_F","1"
"ANG191",-10.3519633661714,-5.67175988664983,"Crab","female",58.84295721,"Crab","C_F","1"
"ANG192",-12.9726419208656,2.99142998144669,"Crab","female",58.94146739,"Crab","C_F","1"
"ANG193",-10.5932330527138,6.80247618423285,"Crab","female",57.03809614,"Crab","C_F","1"
"ANG195",-10.829609868718,5.59116039811436,"Crab","female",58.43680446,"Crab","C_F","1"
"ANG197",-12.5073739385143,4.11524592617299,"Crab","female",60.09727125,"Crab","C_F","1"
"ANG198",-11.2587726032082,-5.24003791162578,"Crab","female",59.31937543,"Crab","C_F","1"
"ANG200",-2.09384078711142,-1.44948548939037,"Crab","female",59.30779979,"Crab","C_F","1"
"ANG202",-11.5321758092394,-1.33846441961305,"Crab","female",59.29739421,"Crab","C_F","1"
"ANG204",-12.6991738352443,-2.98236734600209,"Crab","female",58.98421662,"Crab","C_F","1"
"ANG205",-10.9971098955118,1.19821723396343,"Crab","female",57.55545789,"Crab","C_F","1"
"ANG206",-12.569834704871,9.59032946088431,"Crab","female",55.93309397,"Crab","C_F","1"
"ANG214",-10.7846885146229,-13.4432600228709,"Crab","female",54.69340067,"Crab","C_F","1"
"ANG218",-10.2154027486791,7.18234731024785,"Crab","female",54.25447494,"Crab","C_F","1"
"ANG219",-9.78649485070198,-14.7292430745911,"Crab","female",54.03392524,"Crab","C_F","1"
"ANG222",-9.61947985882264,-6.33176968027628,"Crab","female",52.98690139,"Crab","C_F","1"
"ANG224",-9.89026874378563,-16.6670432381436,"Crab","female",52.01161632,"Crab","C_F","1"
"ANG226",-13.2680284954248,-7.98496775639842,"Crab","female",50.32453881,"Crab","C_F","1"
"ANG227",-10.6486156762207,1.55205267973568,"Crab","female",49.84610246,"Crab","C_F","1"
"ANG229",-11.3093659675587,-4.306312366797,"Crab","female",51.28983725,"Crab","C_F","1"
"ANG233",-11.1187065661868,-3.96791488899977,"Crab","female",50.63714262,"Crab","C_F","1"
"ANG234",-12.4525617441183,4.36886002196093,"Crab","female",49.20038033,"Crab","C_F","1"
"ANG236",-11.0597842139071,-15.0184294378816,"Crab","female",49.83779156,"Crab","C_F","1"
"ANG238",-14.3323324418375,-0.920597302784567,"Crab","female",48.84735547,"Crab","C_F","1"
"ANG239",-11.8854789871652,10.40548468962,"Crab","female",49.15983918,"Crab","C_F","1"
"ANG240",-10.1903029741865,2.62504352176743,"Crab","female",46.94879549,"Crab","C_F","1"
"ANG241",-13.3881344277527,-0.577368976918829,"Crab","female",48.13024487,"Crab","C_F","1"
"ANG243",-12.3438900234829,-8.51245201877357,"Crab","female",47.38743443,"Crab","C_F","1"
"ANG244",-11.6767590912052,2.37442719636703,"Crab","female",45.03195482,"Crab","C_F","1"
"ANG245",-10.1888956239512,2.52123809450699,"Crab","female",45.61365816,"Crab","C_F","1"
"ANG247",-11.0816790016476,-5.86894635623975,"Crab","female",46.24462926,"Crab","C_F","1"
"ANG249",-9.51933890090557,-1.61331099530673,"Crab","female",45.84052899,"Crab","C_F","1"
"ANG251",-10.0644149618153,2.71902770567723,"Crab","female",8.989725294,"Crab","C_F","1"
"ANG254",-12.1602431000323,-0.334784567796992,"Crab","female",8.520774006,"Crab","C_F","1"
"ANG255",-11.1908747922914,-3.71607416432737,"Crab","female",5.492682088,"Crab","C_F","1"
"ANG256",-12.3971594619402,-9.88068412266271,"Crab","female",6.473349333,"Crab","C_F","1"
"ANG259",-11.98128181903,-6.80215076042721,"Crab","female",4.916443827,"Crab","C_F","1"
"ANG260",-6.12321426916714,-0.692592882948147,"Crab","female",4.707269737,"Crab","C_F","1"
"ANG261",-11.5850729750951,-19.2847150854569,"Crab","female",3.935771682,"Crab","C_F","1"
"ANG262",-13.0387096709077,-1.4213967926163,"Crab","female",4.384085574,"Crab","C_F","1"
"ANG263",-13.8650432897666,1.63732988361599,"Crab","female",6.094104292,"Crab","C_F","1"
"ANG264",-12.0199766335217,-14.6389852150456,"Crab","female",2.953925008,"Crab","C_F","1"
"ANG266",-11.2577661293627,-6.99720379106973,"Crab","female",1.119892852,"Crab","C_F","1"
"ANG268",-11.1327718591773,-6.75807922763267,"Crab","female",1.269946419,"Crab","C_F","1"
"ANG269",-12.5228793292871,5.58912341841402,"Crab","female",2.71424457,"Crab","C_F","1"
"ANG270",-13.7347555730289,3.37092786131181,"Crab","female",1.731621236,"Crab","C_F","1"
"ANG271",-12.5724965716363,-5.46598848364432,"NA","female",69.75002883,"Hybrid",NA,"1"
"ANG272",-12.3636109676722,-4.69769498771801,"NA","female",69.92639328,"Hybrid",NA,"1"
"ANG273",-9.27318267539579,-2.58873854199166,"NA","female",71.80824826,"Hybrid",NA,"1"
"ANG275",-9.3619752203856,-12.4575212563634,"Crab","female",64.67001437,"Crab","C_F","1"
"ANG277",-11.5462422693712,-6.19153062859529,"Crab","female",67.53362738,"Crab","C_F","1"
"ANG278",-12.9315274805796,-3.51852368328834,"NA","female",69.04219101,"Hybrid",NA,"1"
"ANG288",-13.0632613859674,1.46798252607631,"NA","female",72.1370051,"Hybrid",NA,"1"
"ANG295",-11.3472678493432,6.82443152670283,"NA","female",72.24460102,"Hybrid",NA,"1"
"ANG308",-10.3154479537109,13.4931633212162,"NA","female",85.84161558,"Hybrid",NA,"1"
"ANG315",-11.6543235281004,-2.75441639895821,"NA","female",86.10859913,"Hybrid",NA,"1"
"ANG317",-10.8544783326565,-9.73565962417023,"NA","female",86.17066926,"Hybrid",NA,"1"
"ANG318",-10.7973125037953,-2.6501894204568,"NA","female",86.29391237,"Hybrid",NA,"1"
"ANG320",-11.9700550254195,-12.6868584950689,"NA","female",86.49310376,"Hybrid",NA,"1"
"ANG323",-9.19145342255671,-15.6080570015844,"NA","female",86.68037399,"Hybrid",NA,"1"
"ANG324",48.1144617908212,-9.68431729398435,"NA","female",86.71757313,"Hybrid",NA,"2"
"ANG325",-11.9898203692782,-2.82529450591834,"NA","female",87.22780646,"Hybrid",NA,"1"
"ANG326",-11.552429063203,4.56157756316958,"NA","female",86.57492884,"Hybrid",NA,"1"
"ANG330",-12.6668718609196,-13.391484416711,"NA","female",86.17575069,"Hybrid",NA,"1"
"ANG334",-10.5447620865941,-2.02886061302809,"NA","female",87.23331567,"Hybrid",NA,"1"
"ANG337",35.4040462466477,-9.0789094695191,"NA","female",86.95192084,"Hybrid",NA,"2"
"ANG340",-11.8224638700967,12.1912821886361,"NA","female",86.14972713,"Hybrid",NA,"1"
"ANG342",39.653157489315,-9.55194691664962,"NA","female",86.07109368,"Hybrid",NA,"2"
"ANG349",-11.0288501220942,-14.457414518618,"NA","female",86.07288741,"Hybrid",NA,"1"
"ANG350",-11.6471282427131,-5.52591586144815,"NA","female",86.24917916,"Hybrid",NA,"1"
"ANG354",93.4117091586155,-8.23337925083697,"NA","female",86.48637002,"Hybrid",NA,"3"
"ANG355",-11.9937418802578,-3.62111076540943,"NA","female",86.5734891,"Hybrid",NA,"1"
"ANG362",52.6320330495608,-1.95633352479893,"NA","female",85.74633735,"Hybrid",NA,"2"
"ANG369",-10.5100089110298,-14.2330532136744,"NA","female",87.22268706,"Hybrid",NA,"1"
"ANG370",-10.442995728013,-4.36468524126882,"Wave","female",88.79848477,"Wave","W_F","1"
"ANG372",-11.8217236364001,0.132601117786079,"NA","female",86.0960001,"Hybrid",NA,"1"
"ANG378",-0.770780521309208,-1.84190729570234,"NA","female",85.67501655,"Hybrid",NA,"1"
"ANG379",-11.0591873304473,3.75589173207325,"NA","female",85.56321397,"Hybrid",NA,"1"
"ANG382",-9.98061124598997,8.50275222014854,"NA","female",84.27984634,"Hybrid",NA,"1"
"ANG388",-12.4055937313988,-13.0447347117372,"NA","female",86.91858559,"Hybrid",NA,"1"
"ANG391",-7.95164632550119,-4.21392583767529,"NA","female",87.21622807,"Hybrid",NA,"1"
"ANG392",-11.5092201494921,2.36066754074917,"NA","female",87.21507221,"Hybrid",NA,"1"
"ANG393",-14.2522524579702,-9.69896350144825,"NA","female",87.21479633,"Hybrid",NA,"1"
"ANG394",-10.1742928014811,7.08480085396832,"NA","female",86.57896495,"Hybrid",NA,"1"
"ANG398",-11.6995700854462,-14.4578372860992,"NA","female",84.85012966,"Hybrid",NA,"1"
"ANG399",-11.0958816928531,-10.7438645190268,"NA","female",84.9207041,"Hybrid",NA,"1"
"ANG400",-12.483802264922,-14.1214536801371,"NA","female",85.56446101,"Hybrid",NA,"1"
"ANG401",-8.82667503720748,-10.0488279043946,"Wave","female",89.55268749,"Wave","W_F","1"
"ANG405",53.0435164400924,26.7065594944327,"Wave","female",93.04805814,"Wave","W_F","2"
"ANG407",52.8477091430808,23.7905958333198,"Wave","female",93.2309945,"Wave","W_F","2"
"ANG415",96.5658594792849,-3.1857911496342,"Wave","female",93.64909907,"Wave","W_F","3"
"ANG419",50.6223305851224,5.37321798434707,"Wave","female",93.7706404,"Wave","W_F","2"
"ANG423",-6.91534198712444,54.427267892153,"Wave","female",93.99788475,"Wave","W_F","1"
"ANG425",-9.36768511980432,4.44956166105824,"Wave","female",94.16964032,"Wave","W_F","1"
"ANG426",34.3551622957844,11.86432582839,"Wave","female",94.22514393,"Wave","W_F","2"
"ANG429",52.2334215863099,-5.76136217412849,"Wave","female",94.22730712,"Wave","W_F","2"
"ANG430",53.7673141171763,23.7422964013954,"Wave","female",94.25076558,"Wave","W_F","2"
"ANG438",51.4000989820007,-5.8550989341059,"Wave","female",95.64686105,"Wave","W_F","2"
"ANG439",102.954677904267,-2.82188797082932,"Wave","female",95.49753769,"Wave","W_F","3"
"ANG444",-7.60431207663777,44.9309764269816,"Wave","female",95.96445547,"Wave","W_F","1"
"ANG446",-7.5241661398339,44.4261610368386,"Wave","female",95.48317594,"Wave","W_F","1"
"ANG450",-9.88870317878672,18.1192433660346,"Wave","female",98.24974206,"Wave","W_F","1"
"ANG453",-10.3851275226919,28.8541736702925,"Wave","female",97.57067061,"Wave","W_F","1"
"ANG455",50.4235749151834,23.9711650448891,"Wave","female",98.28560465,"Wave","W_F","2"
"ANG467",-8.6416013078032,34.0795528046065,"Wave","female",101.4965678,"Wave","W_F","1"
"ANG469",50.8611431659979,-14.0282532700498,"Wave","female",101.3177302,"Wave","W_F","2"
"ANG470",-9.27232709538261,-4.22764167780193,"Wave","female",101.7983039,"Wave","W_F","1"
"ANG471",-7.80034106426341,-0.955082522559049,"NA","female",NA,NA,NA,"1"
"ANG472",105.266558153462,-8.43068561660061,"Wave","female",103.4158757,"Wave","W_F","3"
"ANG475",-11.2395725402784,7.7765832384618,"Wave","female",103.1111129,"Wave","W_F","1"
"ANG478",-7.84968381949781,-3.20665120468838,"Wave","female",103.6111225,"Wave","W_F","1"
"ANG479",-7.8760772754993,23.9203634640316,"Wave","female",103.6081257,"Wave","W_F","1"
"ANG480",-6.57368346471771,9.86170323077437,"Wave","female",103.6119893,"Wave","W_F","1"
"ANG481",-11.6492900458824,20.9750584131608,"Wave","female",103.9612761,"Wave","W_F","1"
"ANG483",-9.75606492277934,16.560927721452,"Wave","female",104.5182905,"Wave","W_F","1"
"ANG484",-9.92674652859256,36.3869633900426,"Wave","female",104.5188214,"Wave","W_F","1"
"ANG488",-9.00728985838385,21.7889312013493,"Wave","female",104.9474177,"Wave","W_F","1"
"ANG489",-6.46936654721394,-13.4935644214864,"Wave","female",105.23189,"Wave","W_F","1"
"ANG496",52.6701414577365,3.34848725875777,"Wave","female",106.3636994,"Wave","W_F","2"
"ANG499",-11.2866943596412,20.4235937217734,"Wave","female",106.8666143,"Wave","W_F","1"
"ANG502",87.2689282969461,-5.87426754086558,"Wave","female",107.3175994,"Wave","W_F","3"
"ANG506",-8.0401103640387,4.51550658570903,"Wave","female",107.5724329,"Wave","W_F","1"
"ANG513",-9.60219907172615,15.2480764756689,"Wave","female",109.010157,"Wave","W_F","1"
"ANG514",46.5958555774707,8.22175199695959,"Wave","female",109.0953291,"Wave","W_F","2"
"ANG518",-8.70386971525272,25.5829930155766,"Wave","female",109.1322701,"Wave","W_F","1"
"ANG523",-10.3232644154082,27.2104679305591,"Wave","female",110.1666863,"Wave","W_F","1"
"ANG528",-10.1097166383765,6.98528112373592,"Wave","female",111.5345994,"Wave","W_F","1"
"ANG535",52.4769597331348,-2.16024892426445,"Wave","female",128.8074039,"Wave","W_F","2"
"ANG539",52.0469498999018,-7.41872154553383,"Wave","female",129.1777956,"Wave","W_F","2"
"ANG540",52.3611214733721,-1.82014200275776,"Wave","female",129.30025,"Wave","W_F","2"
"ANG544",47.8893548789148,-2.99411352034196,"Wave","female",129.9252793,"Wave","W_F","2"
"ANG545",-9.86284700157943,-18.0633507356228,"Wave","female",130.0720804,"Wave","W_F","1"
"ANG546",51.5242057838152,0.982093066821926,"Wave","female",130.2386212,"Wave","W_F","2"
"ANG548",98.3871428708167,-7.8564183146878,"Wave","female",130.3767606,"Wave","W_F","3"
"ANG554",-10.0076433187042,-3.71889087295593,"Wave","female",133.3994317,"Wave","W_F","1"
"ANG555",-6.91492546739283,-8.21665113235393,"Wave","female",134.571403,"Wave","W_F","1"
"ANG558",-8.35863920787746,11.5877133969265,"Wave","female",135.6330355,"Wave","W_F","1"
"ANG563",52.8483827728781,-11.1642652041607,"Wave","female",138.9684624,"Wave","W_F","2"
"ANG564",47.7266283675788,-1.22931421899962,"Wave","female",139.9074511,"Wave","W_F","2"
