"window","1","2","3","prop_x","prop_y","mean_dist"
1,25,0,0,1,0,23.42185793912
6,25,0,0,1,0,33.19464223412
11,25,0,0,1,0,43.1332639662
16,25,0,0,1,0,51.76145898
21,25,0,0,1,0,54.3403666312
26,25,0,0,1,0,56.5575112236
31,25,0,0,1,0,58.6077343128
36,25,0,0,1,0,60.1755489108
41,25,0,0,1,0,61.1013255832
46,25,0,0,1,0,61.9725962316
51,25,0,0,1,0,62.9367682396
56,25,0,0,1,0,63.9914665936
61,25,0,0,1,0,64.9657230272
66,25,0,0,1,0,65.9508193376
71,25,0,0,1,0,67.11016306
76,25,0,0,1,0,68.3964836736
81,25,0,0,1,0,69.572632176
86,24,1,0,0.98,0.02,71.03995067
91,24,1,0,0.98,0.02,73.9485212508
96,24,1,0,0.98,0.02,77.0647315788
101,22,3,0,0.94,0.06,79.9663479312
106,22,3,0,0.94,0.06,82.7489383396
111,22,2,1,0.92,0.08,85.147319142
116,21,3,1,0.9,0.1,86.0341013148
121,20,4,1,0.88,0.12,86.459795292
126,21,3,1,0.9,0.1,87.1179313704
131,18,5,2,0.82,0.18,88.6426318796
136,15,8,2,0.76,0.24,90.3061469136
141,14,9,2,0.74,0.26,92.3960232072
146,13,9,3,0.7,0.3,95.4087786468
151,14,8,3,0.72,0.28,98.3467967096
156,16,7,2,0.78,0.22,100.71120406
161,18,5,2,0.82,0.18,103.4489583896
166,17,6,2,0.8,0.2,108.379734444
171,16,7,2,0.78,0.22,114.094637752
176,14,9,2,0.74,0.26,120.92938008
181,11,12,2,0.68,0.32,129.461460524
