"window","1","2","3","<NA>","prop_x","prop_y","mean_dist"
1,25,0,0,0,1,0,42.87045763908
6,25,0,0,0,1,0,53.6305946012
11,25,0,0,0,1,0,56.0318209564
16,25,0,0,0,1,0,57.9658476328
21,25,0,0,0,1,0,59.5198475652
26,25,0,0,0,1,0,60.8930068916
31,25,0,0,0,1,0,62.16818893
36,25,0,0,0,1,0,63.4799617712
41,25,0,0,0,1,0,64.9429756596
46,25,0,0,0,1,0,66.4267534924
51,25,0,0,0,1,0,68.1328525452
56,25,0,0,0,1,0,69.6250690236
61,25,0,0,0,1,0,71.1078045516
66,25,0,0,0,1,0,73.3747007524
71,25,0,0,0,1,0,75.7968144264
76,23,2,0,0,0.96,0.04,78.2648279152
81,21,3,1,0,0.9,0.1,80.9127348312
86,18,6,1,0,0.84,0.16,83.359245004
91,17,7,1,0,0.82,0.18,84.7468894848
96,14,10,1,0,0.76,0.24,85.7754044528
101,15,9,1,0,0.78,0.22,86.2745792696
106,13,11,1,0,0.74,0.26,87.6380239056
111,14,10,1,0,0.76,0.24,89.513222496
116,13,11,1,0,0.74,0.26,91.6908191412
121,14,10,1,0,0.76,0.24,94.85529723
126,14,10,1,0,0.76,0.24,98.96956681
131,16,9,0,0,0.82,0.18,104.0736552892
136,14,11,0,0,0.78,0.22,112.1095631332
141,14,11,0,0,0.78,0.22,122.272994424
146,15,9,1,0,0.78,0.22,NA
0,0,0,0,0,NA,NA,NA
