"snail_ID","Axis1","Axis2","ecotype.x","sex_dissection","DistAlongPath","ecotype.y","group","cluster"
"ANG001",3.46725062940906,-13.5807022608039,NA,"female",83.85935305,"Hybrid",NA,"2"
"ANG003",5.26649207654417,-11.3459228007832,NA,"female",82.90883605,"Hybrid",NA,"2"
"ANG004",3.52913717819194,-10.7717599717063,NA,"female",82.54648811,"Hybrid",NA,"2"
"ANG007",5.11220652644099,-15.3608281355889,NA,"female",74.38169705,"Hybrid",NA,"2"
"ANG024",0.0978061218784644,-0.164009506116145,NA,"female",78.54297942,"Hybrid",NA,"2"
"ANG026",3.04257193210075,-15.467157374425,NA,"female",79.4047081,"Hybrid",NA,"2"
"ANG030",2.15256230270012,-14.0036065390492,NA,"female",82.58148687,"Hybrid",NA,"2"
"ANG051",3.6559841722812,-16.0030847245475,NA,"female",74.09284899,"Hybrid",NA,"2"
"ANG056",1.62620912469235,-11.1578579135849,NA,"female",72.2487465,"Hybrid",NA,"2"
"ANG057",5.39843187623621,-14.5027622105992,NA,"female",72.41392268,"Hybrid",NA,"2"
"ANG067",2.84065835412516,-12.157053928023,NA,"female",72.57496647,"Hybrid",NA,"2"
"ANG068",60.5806664246083,3.58225610988587,NA,"female",72.54404242,"Hybrid",NA,"3"
"ANG074",1.36214038788681,-8.4141268693265,NA,"female",71.59132711,"Hybrid",NA,"2"
"ANG082",1.67852281874954,-12.5633765607778,NA,"female",72.0917108,"Hybrid",NA,"2"
"ANG084",3.72080971543703,-15.6169634485112,NA,"female",71.59140547,"Hybrid",NA,"2"
"ANG085",-59.1730347825755,-3.53403154733593,NA,"female",71.88745623,"Hybrid",NA,"1"
"ANG089",4.34284816858199,-13.2147015922915,NA,"female",69.377303,"Hybrid",NA,"2"
"ANG093",3.49963544650432,-13.4741809765175,NA,"female",69.98810469,"Hybrid",NA,"2"
"ANG097",-0.687558663662072,-13.6527134530148,NA,"female",69.17718076,"Hybrid",NA,"2"
"ANG101",3.34065613576306,-15.8586267340518,"Crab","female",65.4565481,"Crab","C_F","2"
"ANG102",2.22171651489945,-13.8034789483914,"Crab","female",67.21820643,"Crab","C_F","2"
"ANG103",2.55151982358315,-14.7520955461815,"Crab","female",65.49429513,"Crab","C_F","2"
"ANG105",4.59748636436404,-13.4594084382848,"Crab","female",67.8365451,"Crab","C_F","2"
"ANG113",4.55694832856415,-14.9383162061107,"Crab","female",67.34345839,"Crab","C_F","2"
"ANG115",0.55510321583432,-3.6619507045185,"Crab","female",67.89268359,"Crab","C_F","2"
"ANG116",1.90137821528312,-14.6029013637791,"Crab","female",67.59545101,"Crab","C_F","2"
"ANG117",0.344040436894437,-10.3377889923814,"Crab","female",66.92915659,"Crab","C_F","2"
"ANG119",4.12479280357417,-15.9579139040422,"Crab","female",66.82809393,"Crab","C_F","2"
"ANG121",3.1461688105763,-14.2903623409666,"Crab","female",67.12355737,"Crab","C_F","2"
"ANG123",3.1245973786501,-14.4958533499447,"Crab","female",67.72830058,"Crab","C_F","2"
"ANG126",4.27277675525007,-7.02885326331955,"Crab","female",66.83919322,"Crab","C_F","2"
"ANG129",5.91640749863752,-15.6535286207636,"Crab","female",66.24375681,"Crab","C_F","2"
"ANG131",3.19824960423887,-15.7325776391473,"Crab","female",62.81186175,"Crab","C_F","2"
"ANG132",2.3001343692288,-16.2153209142239,"Crab","female",62.91651172,"Crab","C_F","2"
"ANG133",4.43589197850578,-13.7397192941888,"Crab","female",64.35493028,"Crab","C_F","2"
"ANG136",3.48870378430813,-15.1973782114187,"Crab","female",66.63022003,"Crab","C_F","2"
"ANG137",4.23863819301262,-13.753327418311,"Crab","female",66.53590764,"Crab","C_F","2"
"ANG138",3.41801278945566,-13.6374923192914,"Crab","female",65.2430416,"Crab","C_F","2"
"ANG141",4.87063499052559,-16.9569497812559,"Crab","female",63.56092961,"Crab","C_F","2"
"ANG143",4.11352150491379,-14.976144110941,"Crab","female",64.63765046,"Crab","C_F","2"
"ANG144",3.43352221726413,-15.8966714164646,"Crab","female",64.70127189,"Crab","C_F","2"
"ANG146",5.01334234879846,-14.5851997914444,"Crab","female",63.93488847,"Crab","C_F","2"
"ANG149",3.60734815315519,-14.9014120135182,"Crab","female",63.32221931,"Crab","C_F","2"
"ANG150",1.62899340284862,-15.5544504231224,"Crab","female",62.83608444,"Crab","C_F","2"
"ANG151",2.73919781816298,-11.492819378561,"Crab","female",62.46153785,"Crab","C_F","2"
"ANG152",4.60458136227927,-10.0535168958035,"Crab","female",61.89090794,"Crab","C_F","2"
"ANG153",1.11964039235274,-13.0430349784293,"Crab","female",62.9093096,"Crab","C_F","2"
"ANG155",3.97236174376332,-16.0117120944692,"Crab","female",61.63296822,"Crab","C_F","2"
"ANG157",1.32214452494585,-9.79185848320754,NA,"female",NA,NA,NA,"2"
"ANG158",0.945561116296718,-13.6563396643042,"Crab","female",62.31478938,"Crab","C_F","2"
"ANG163",2.79875612294007,-14.8239521207251,"Crab","female",60.90736533,"Crab","C_F","2"
"ANG164",2.72282964061325,-18.213603216135,"Crab","female",60.69137807,"Crab","C_F","2"
"ANG165",3.64606828350256,-9.23908891155184,NA,"female",NA,NA,NA,"2"
"ANG168",3.22382330380273,-16.269986653929,"Crab","female",62.48543239,"Crab","C_F","2"
