"window","1","2","3","prop_x","prop_y","mean_dist"
1,0,25,0,0.5,0.5,23.42185793912
6,0,25,0,0.5,0.5,33.19464223412
11,0,25,0,0.5,0.5,43.1332639662
16,0,25,0,0.5,0.5,51.76145898
21,0,25,0,0.5,0.5,54.3403666312
26,0,25,0,0.5,0.5,56.5575112236
31,0,25,0,0.5,0.5,58.6077343128
36,0,24,1,0.48,0.52,60.1755489108
41,0,24,1,0.48,0.52,61.1013255832
46,0,24,1,0.48,0.52,61.9725962316
51,1,23,1,0.5,0.5,62.9367682396
56,1,23,1,0.5,0.5,63.9914665936
61,1,24,0,0.52,0.48,64.9657230272
66,1,24,0,0.52,0.48,65.9508193376
71,1,24,0,0.52,0.48,67.11016306
76,1,24,0,0.52,0.48,68.3964836736
81,1,24,0,0.52,0.48,69.572632176
86,1,23,1,0.5,0.5,71.03995067
91,1,23,1,0.5,0.5,73.9485212508
96,1,23,1,0.5,0.5,77.0647315788
101,0,23,2,0.46,0.54,79.9663479312
106,1,22,2,0.48,0.52,82.7489383396
111,1,22,2,0.48,0.52,85.147319142
116,2,20,3,0.48,0.52,86.0341013148
121,2,19,4,0.46,0.54,86.459795292
126,2,19,4,0.46,0.54,87.1179313704
131,2,16,7,0.4,0.6,88.6426318796
136,2,15,8,0.38,0.62,90.3061469136
141,1,16,8,0.36,0.64,92.3960232072
146,2,14,9,0.36,0.64,95.4087786468
151,4,13,8,0.42,0.58,98.3467967096
156,5,15,5,0.5,0.5,100.71120406
161,6,13,6,0.5,0.5,103.4489583896
166,7,13,5,0.54,0.46,108.379734444
171,7,14,4,0.56,0.44,114.094637752
176,7,13,5,0.54,0.46,120.92938008
181,6,14,5,0.52,0.48,129.461460524
