"window","1","2","3","prop_x","prop_y","mean_dist"
1,24,1,0,0.98,0.02,42.87045763908
6,24,1,0,0.98,0.02,53.6305946012
11,25,0,0,1,0,56.0318209564
16,25,0,0,1,0,57.9658476328
21,25,0,0,1,0,59.5198475652
26,25,0,0,1,0,60.8930068916
31,24,1,0,0.98,0.02,62.16818893
36,24,1,0,0.98,0.02,63.4799617712
41,24,1,0,0.98,0.02,64.9429756596
46,24,1,0,0.98,0.02,66.4267534924
51,24,1,0,0.98,0.02,68.1328525452
56,25,0,0,1,0,69.6250690236
61,24,1,0,0.98,0.02,71.1078045516
66,24,1,0,0.98,0.02,73.3747007524
71,23,2,0,0.96,0.04,75.7968144264
76,21,3,1,0.9,0.1,78.2648279152
81,18,5,2,0.82,0.18,80.9127348312
86,16,7,2,0.78,0.22,83.359245004
91,15,8,2,0.76,0.24,84.7468894848
96,13,10,2,0.72,0.28,85.7754044528
101,14,10,1,0.76,0.24,86.2745792696
106,12,11,2,0.7,0.3,87.6380239056
111,11,12,2,0.68,0.32,89.513222496
116,9,13,3,0.62,0.38,91.6908191412
121,8,14,3,0.6,0.4,94.85529723
126,8,14,3,0.6,0.4,98.96956681
131,11,12,2,0.68,0.32,104.0736552892
136,11,12,2,0.68,0.32,112.1095631332
141,12,12,1,0.72,0.28,122.272994424
146,15,8,2,0.76,0.24,NA
