"snail_ID","Axis1","Axis2","ecotype.x","sex_dissection","DistAlongPath","ecotype.y","group","cluster"
"ANG001",-17.5314131466651,-3.40769082437342,NA,"female",83.85935305,"Hybrid",NA,"2"
"ANG003",-12.103870336069,2.53843101947366,NA,"female",82.90883605,"Hybrid",NA,"2"
"ANG004",-8.70128250075329,-2.96457202646442,NA,"female",82.54648811,"Hybrid",NA,"2"
"ANG007",-15.6758997094917,-5.17110438676285,NA,"female",74.38169705,"Hybrid",NA,"2"
"ANG024",-0.0251314526844193,0.0114350775180291,NA,"female",78.54297942,"Hybrid",NA,"2"
"ANG026",-16.6782469593206,-2.39626441497008,NA,"female",79.4047081,"Hybrid",NA,"2"
"ANG030",-23.7344845721897,0.872624096924067,NA,"female",82.58148687,"Hybrid",NA,"2"
"ANG051",-20.216259705571,-3.6054578193312,NA,"female",74.09284899,"Hybrid",NA,"2"
"ANG056",-6.93932284624649,-0.95851594358264,NA,"female",72.2487465,"Hybrid",NA,"2"
"ANG057",-17.2315741179547,-0.650241912616421,NA,"female",72.41392268,"Hybrid",NA,"2"
"ANG067",-16.3807077457745,-3.2108235173831,NA,"female",72.57496647,"Hybrid",NA,"2"
"ANG068",-12.7153036401669,25.7857877354265,NA,"female",72.54404242,"Hybrid",NA,"2"
"ANG074",-8.28465594958932,16.7297368416571,NA,"female",71.59132711,"Hybrid",NA,"2"
"ANG082",-13.3865443888119,-0.735197091195474,NA,"female",72.0917108,"Hybrid",NA,"2"
"ANG084",-15.8692106172402,-5.1020310828564,NA,"female",71.59140547,"Hybrid",NA,"2"
"ANG085",25.4490650650718,-35.4907866498709,NA,"female",71.88745623,"Hybrid",NA,"3"
"ANG089",-19.8704596195058,0.422335532281106,NA,"female",69.377303,"Hybrid",NA,"2"
"ANG093",-15.2973585255287,-0.947837260818125,NA,"female",69.98810469,"Hybrid",NA,"2"
"ANG097",-11.6768324504417,-2.25281890011148,NA,"female",69.17718076,"Hybrid",NA,"2"
"ANG101",-19.4191889438812,-6.0787909535249,"Crab","female",65.4565481,"Crab","C_F","2"
"ANG102",-13.6064255809037,-2.82960754297136,"Crab","female",67.21820643,"Crab","C_F","2"
"ANG103",-21.8164270136462,-2.76081741363193,"Crab","female",65.49429513,"Crab","C_F","2"
"ANG105",-14.3078733788231,0.280329108465857,"Crab","female",67.8365451,"Crab","C_F","2"
"ANG113",-15.4379247414707,-4.30408915065424,"Crab","female",67.34345839,"Crab","C_F","2"
"ANG115",-3.75116387957022,-0.562474845037368,"Crab","female",67.89268359,"Crab","C_F","2"
"ANG116",-14.3188893759428,-0.397067848642521,"Crab","female",67.59545101,"Crab","C_F","2"
"ANG117",-12.2973897897854,-2.94517816720193,"Crab","female",66.92915659,"Crab","C_F","2"
"ANG119",-20.3676371468029,-0.252834237926498,"Crab","female",66.82809393,"Crab","C_F","2"
"ANG121",-18.3105382727246,-0.0213766114214605,"Crab","female",67.12355737,"Crab","C_F","2"
"ANG123",-17.810629553064,-1.3131598108123,"Crab","female",67.72830058,"Crab","C_F","2"
"ANG126",-18.1403755024639,-2.50780171645639,"Crab","female",66.83919322,"Crab","C_F","2"
"ANG129",-16.6783953719783,-0.774921623409644,"Crab","female",66.24375681,"Crab","C_F","2"
"ANG131",-16.5241275381029,-2.19931963642516,"Crab","female",62.81186175,"Crab","C_F","2"
"ANG132",-18.0800042376213,1.44171128539224,"Crab","female",62.91651172,"Crab","C_F","2"
"ANG133",-15.0478148584469,-0.949652864092768,"Crab","female",64.35493028,"Crab","C_F","2"
"ANG136",-16.1132668728013,-2.09600878196335,"Crab","female",66.63022003,"Crab","C_F","2"
"ANG137",-18.2353169931644,-6.78310291086567,"Crab","female",66.53590764,"Crab","C_F","2"
"ANG138",-16.9365380690505,-2.10703119674253,"Crab","female",65.2430416,"Crab","C_F","2"
