"window","1","2","3","prop_x","prop_y","mean_dist"
1,0,25,0,0.5,0.5,23.42185793912
6,0,25,0,0.5,0.5,33.19464223412
11,0,25,0,0.5,0.5,43.1332639662
16,0,25,0,0.5,0.5,51.76145898
21,0,25,0,0.5,0.5,54.3403666312
26,0,25,0,0.5,0.5,56.5575112236
31,0,25,0,0.5,0.5,58.6077343128
36,1,24,0,0.52,0.48,60.1755489108
41,1,24,0,0.52,0.48,61.1013255832
46,1,24,0,0.52,0.48,61.9725962316
51,1,23,1,0.5,0.5,62.9367682396
56,1,23,1,0.5,0.5,63.9914665936
61,0,24,1,0.48,0.52,64.9657230272
66,0,24,1,0.48,0.52,65.9508193376
71,0,24,1,0.48,0.52,67.11016306
76,0,24,1,0.48,0.52,68.3964836736
81,0,24,1,0.48,0.52,69.572632176
86,0,24,1,0.48,0.52,71.03995067
91,0,24,1,0.48,0.52,73.9485212508
96,0,23,2,0.46,0.54,77.0647315788
101,0,23,2,0.46,0.54,79.9663479312
106,0,21,4,0.42,0.58,82.7489383396
111,0,21,4,0.42,0.58,85.147319142
116,0,17,8,0.34,0.66,86.0341013148
121,0,16,9,0.32,0.68,86.459795292
126,0,16,9,0.32,0.68,87.1179313704
131,0,16,9,0.32,0.68,88.6426318796
136,0,12,13,0.24,0.76,90.3061469136
141,0,12,13,0.24,0.76,92.3960232072
146,0,10,15,0.2,0.8,95.4087786468
151,0,6,19,0.12,0.88,98.3467967096
156,0,3,22,0.06,0.94,100.71120406
161,1,3,21,0.1,0.9,103.4489583896
166,1,2,22,0.08,0.92,108.379734444
171,1,2,22,0.08,0.92,114.094637752
176,1,2,22,0.08,0.92,120.92938008
181,1,2,22,0.08,0.92,129.461460524
