"snail_ID","Axis1","Axis2","ecotype.x","sex_dissection","DistAlongPath","ecotype.y","group","cluster"
"ANG005",27.6957298645425,-11.1826545728057,NA,"male",81.19578148,"Hybrid",NA,"1"
"ANG006",-22.8202739308009,-7.63592125524316,NA,"male",74.19673505,"Hybrid",NA,"2"
"ANG015",-77.4566179528768,2.34655317815343,NA,"male",81.47608397,"Hybrid",NA,"3"
"ANG016",-21.2762433018213,-1.87171529006772,NA,"male",78.90139717,"Hybrid",NA,"2"
"ANG017",22.6864129667345,-5.98266429449008,NA,"male",77.7336136,"Hybrid",NA,"1"
"ANG018",25.9313480526037,-0.0451594712117677,NA,"male",78.9173985,"Hybrid",NA,"1"
"ANG020",26.7785851895489,-8.53430467506874,NA,"male",81.76416287,"Hybrid",NA,"1"
"ANG022",-30.046622829198,-3.43521502735517,NA,"male",80.62543146,"Hybrid",NA,"2"
"ANG025",-25.6826438424209,-8.34158765411429,NA,"male",75.10432022,"Hybrid",NA,"2"
"ANG028",-28.6279556336414,0.282942347445505,NA,"male",82.0356951,"Hybrid",NA,"2"
"ANG031",24.9431356518189,-15.0635262890429,NA,"male",82.58195565,"Hybrid",NA,"1"
"ANG036",17.4441488389793,-8.33105573620784,NA,"male",80.61095728,"Hybrid",NA,"1"
"ANG041",27.5302898797376,-10.6767577512774,NA,"male",83.17705298,"Hybrid",NA,"1"
"ANG052",25.6741758875217,-12.1228579668143,NA,"male",72.57624026,"Hybrid",NA,"1"
"ANG059",-24.3795461386288,-3.31418731127312,NA,"male",71.85744935,"Hybrid",NA,"2"
"ANG061",23.0812640421211,-12.7645738894599,NA,"male",72.41932278,"Hybrid",NA,"1"
"ANG066",-80.125784985004,3.50737820952151,NA,"male",72.57388222,"Hybrid",NA,"3"
"ANG070",-29.1134796427918,-10.0929131234046,NA,"male",72.65583754,"Hybrid",NA,"2"
"ANG072",27.9057199266239,-12.3556830408361,NA,"male",72.30831424,"Hybrid",NA,"1"
"ANG081",-27.9504815142451,-0.935286643878687,NA,"male",72.04206812,"Hybrid",NA,"2"
"ANG086",-22.8931128989409,-0.352422069472232,NA,"male",71.88436006,"Hybrid",NA,"2"
"ANG092",-26.7279649910399,1.74057578940743,NA,"male",70.3859778,"Hybrid",NA,"2"
"ANG096",-24.7651203211395,-6.55292544750718,NA,"male",69.24798652,"Hybrid",NA,"2"
"ANG104",27.7707302652601,-14.5107266426497,NA,"male",NA,NA,NA,"1"
"ANG106",-26.8443030995346,-1.99469237131273,"Crab","male",66.63456719,"Crab","C_M","2"
"ANG107",25.7951526802378,-11.2783645309619,NA,"male",68.19706156,"Hybrid",NA,"1"
"ANG108",25.1596706308958,-12.0678959069327,NA,"male",68.30760308,"Hybrid",NA,"1"
"ANG109",-23.6956727769802,-3.22602095653329,"Crab","male",67.26462315,"Crab","C_M","2"
"ANG110",-26.3162232875815,-2.52472054607999,NA,"male",68.64972952,"Hybrid",NA,"2"
"ANG112",26.7028419076199,-19.9935469228597,"Crab","male",65.58096029,"Crab","C_M","1"
"ANG114",-28.776216420754,-5.39580640024939,NA,"male",68.60682446,"Hybrid",NA,"2"
"ANG118",-27.6101099017234,-1.92074990187083,"Crab","male",67.65015741,"Crab","C_M","2"
"ANG120",-26.8457992701468,-2.79730447151896,"Crab","male",66.03438464,"Crab","C_M","2"
"ANG124",-25.9296948039422,-1.57033572620066,"Crab","male",66.75713657,"Crab","C_M","2"
"ANG125",-26.2545460976286,-2.66904078247402,"Crab","male",66.52438463,"Crab","C_M","2"
"ANG127",27.5887073911914,-9.12206305135913,"Crab","male",65.79175559,"Crab","C_M","1"
"ANG130",27.7631631327637,-14.6771082541744,"Crab","male",64.28554263,"Crab","C_M","1"
"ANG134",24.6341730405279,-17.2308103190161,"Crab","male",64.38125506,"Crab","C_M","1"
"ANG135",-76.7025125182112,5.34813949891213,"Crab","male",64.81671018,"Crab","C_M","3"
"ANG140",-24.2282334231074,-4.22851143171871,"Crab","male",64.48466831,"Crab","C_M","2"
"ANG145",-7.60148271245226,-1.31498059655812,"Crab","male",65.49117563,"Crab","C_M","2"
"ANG147",-27.5509225519573,-4.07955983361696,"Crab","male",64.69234075,"Crab","C_M","2"
"ANG154",28.2615064620733,-20.5876944800291,"Crab","male",62.46770351,"Crab","C_M","1"
"ANG156",27.9443040201994,-17.1011330732208,"Crab","male",63.07294063,"Crab","C_M","1"
"ANG159",-28.6118013524622,-5.83514138994232,"Crab","male",61.99682207,"Crab","C_M","2"
"ANG160",-27.1253691852536,-2.33439046228438,"Crab","male",61.57430741,"Crab","C_M","2"
"ANG161",-23.0252438011384,-5.43505598220783,"Crab","male",61.0731491,"Crab","C_M","2"
"ANG166",25.2449881638653,-14.736242259172,"Crab","male",61.6603954,"Crab","C_M","1"
"ANG167",26.0560733403074,-17.8171489646767,"Crab","male",63.08272901,"Crab","C_M","1"
"ANG170",-75.3530099006079,3.16448678480581,"Crab","male",62.23633362,"Crab","C_M","3"
"ANG171",28.4550076258435,-8.86983120344396,"Crab","male",61.98200871,"Crab","C_M","1"
"ANG173",28.834876029343,-14.3779491435145,"Crab","male",61.07936143,"Crab","C_M","1"
"ANG176",26.0237389138589,-9.61932835077805,"Crab","male",60.25692512,"Crab","C_M","1"
"ANG177",-26.8137089217509,-3.55502614890816,"Crab","male",60.12956759,"Crab","C_M","2"
"ANG181",27.832616579714,-14.1646139718942,"Crab","male",59.62518447,"Crab","C_M","1"
"ANG183",-26.4481142643905,-9.77395480566434,"Crab","male",60.86467442,"Crab","C_M","2"
"ANG184",25.9880624148136,-13.4118645707918,"Crab","male",59.50322859,"Crab","C_M","1"
"ANG185",22.3223404998152,-11.1342847205928,"Crab","male",58.82755166,"Crab","C_M","1"
"ANG188",27.2852086474391,-11.535540250923,"Crab","male",59.93483643,"Crab","C_M","1"
"ANG189",-27.7665645504043,-0.903811884336748,"Crab","male",59.20198441,"Crab","C_M","2"
"ANG194",27.368272087563,-16.4613023483239,"Crab","male",58.12673257,"Crab","C_M","1"
"ANG196",-20.6062181557668,-4.09712172808814,"Crab","male",59.54209944,"Crab","C_M","2"
"ANG199",-29.7203262493144,-4.23593623125779,"Crab","male",60.17681238,"Crab","C_M","2"
"ANG201",27.4095901260295,-9.315806483535,"Crab","male",59.71621966,"Crab","C_M","1"
"ANG207",-25.254305711951,-4.27009074644184,"Crab","male",56.15588893,"Crab","C_M","2"
"ANG208",-26.0076628358263,-9.59452899730289,"Crab","male",56.8917112,"Crab","C_M","2"
"ANG209",24.8591770995381,-9.48042948802669,"Crab","male",57.52680697,"Crab","C_M","1"
"ANG210",26.1085484761923,-9.97728882539811,"Crab","male",57.23651244,"Crab","C_M","1"
"ANG211",-27.8836719658131,-5.34509300588256,"Crab","male",56.91667454,"Crab","C_M","2"
"ANG213",27.2191434722332,-14.6029515551614,"Crab","male",55.01368529,"Crab","C_M","1"
"ANG215",-27.6618148008177,-5.41878462045968,"Crab","male",55.76040057,"Crab","C_M","2"
"ANG217",26.2312852267656,-12.393144987352,"Crab","male",53.89868369,"Crab","C_M","1"
"ANG220",-75.4567384614054,3.42888357511318,"Crab","male",54.47239868,"Crab","C_M","3"
"ANG221",-78.7505201637907,3.35222906089802,"Crab","male",54.21186152,"Crab","C_M","3"
"ANG223",24.4469888708779,-2.539514228133,"Crab","male",53.00323972,"Crab","C_M","1"
"ANG225",-28.6762182105272,-2.49285684856089,"Crab","male",51.49130379,"Crab","C_M","2"
"ANG228",27.8165651535503,-8.91086350988065,"Crab","male",50.22690782,"Crab","C_M","1"
"ANG230",19.721730649153,-7.13624281144834,"Crab","male",52.68488425,"Crab","C_M","1"
"ANG231",-78.8466235119502,4.7197603902957,"Crab","male",50.68312636,"Crab","C_M","3"
"ANG232",-26.8346590071388,-8.88401989627846,"Crab","male",50.01403332,"Crab","C_M","2"
"ANG235",27.245065874803,-15.8213186010058,NA,"male",NA,NA,NA,"1"
"ANG237",-26.813780000199,-6.67440322112679,"Crab","male",49.89300842,"Crab","C_M","2"
"ANG242",26.2432234832806,-2.28686568349744,"Crab","male",48.3098033,"Crab","C_M","1"
"ANG246",26.3770562087032,-19.3885612694389,"Crab","male",47.47379551,"Crab","C_M","1"
"ANG248",-26.4129762127484,-1.87456678826537,"Crab","male",47.12537599,"Crab","C_M","2"
"ANG250",26.6445750809555,-12.8530338891612,"Crab","male",46.11526549,"Crab","C_M","1"
"ANG252",27.5318452225333,-17.3478237283492,"Crab","male",6.578057236,"Crab","C_M","1"
"ANG253",-74.2076064014737,3.37787035414733,"Crab","male",7.191710248,"Crab","C_M","3"
"ANG257",27.2591796910266,-22.4128535242541,"Crab","male",7.566994132,"Crab","C_M","1"
"ANG265",-27.6402779152065,-0.247671368908737,"Crab","male",1.447879634,"Crab","C_M","2"
"ANG267",-78.8538493719367,3.63026386748986,"Crab","male",1.398238897,"Crab","C_M","3"
"ANG274",24.6091552109153,-14.5748337001913,NA,"male",71.91632461,"Hybrid",NA,"1"
"ANG280",23.6672988054139,-8.81817871320123,NA,"male",69.10299273,"Hybrid",NA,"1"
"ANG283",-26.8076321834659,-7.42560444109749,NA,"male",69.15762646,"Hybrid",NA,"2"
"ANG285",27.0673913341372,-20.5267323181376,NA,"male",72.24244502,"Hybrid",NA,"1"
"ANG289",-15.0530875837554,1.86564762866046,NA,"male",72.55069691,"Hybrid",NA,"2"
"ANG290",-25.9394483524574,-2.38489268242603,NA,"male",72.51905097,"Hybrid",NA,"2"
"ANG294",26.1292072654817,-8.60898888630082,NA,"male",80.53530813,"Hybrid",NA,"1"
"ANG297",-26.4481848529859,-3.69481017476043,NA,"male",74.27748375,"Hybrid",NA,"2"
"ANG301",25.2831937157534,-6.69790775154538,NA,"male",84.67420811,"Hybrid",NA,"1"
"ANG304",-26.5146973219124,10.7367951418223,NA,"male",85.71493708,"Hybrid",NA,"2"
"ANG305",27.2147524038632,-10.4560278347275,NA,"male",85.7040865,"Hybrid",NA,"1"
"ANG306",-25.0738319177587,20.9938418590789,NA,"male",85.68945712,"Hybrid",NA,"2"
"ANG313",-75.8412474264939,5.45573221762194,NA,"male",85.53351278,"Hybrid",NA,"3"
"ANG316",-73.2944105770346,3.11128603678972,NA,"male",86.19514779,"Hybrid",NA,"3"
"ANG319",26.7304270920654,-22.3411924012917,NA,"male",86.72839788,"Hybrid",NA,"1"
"ANG322",27.812314781739,-13.8250719869958,NA,"male",86.34059348,"Hybrid",NA,"1"
"ANG327",-27.9296491929307,1.95324885282916,NA,"male",86.47954078,"Hybrid",NA,"2"
"ANG332",26.0857938966295,17.9292903968609,NA,"male",87.25356214,"Hybrid",NA,"1"
"ANG336",27.605666178568,-21.2720608461157,NA,"male",86.94554559,"Hybrid",NA,"1"
"ANG338",-26.0930113658303,9.91891759428416,NA,"male",86.70140891,"Hybrid",NA,"2"
"ANG339",-26.8146747726125,10.2726931213333,NA,"male",86.70140891,"Hybrid",NA,"2"
"ANG341",-24.4233530128567,-13.0706681799767,NA,"male",86.18307503,"Hybrid",NA,"2"
"ANG347",27.0381453383152,15.6825673966799,NA,"male",85.98642424,"Hybrid",NA,"1"
"ANG348",-21.5995969676788,7.19354578785879,NA,"male",85.73274604,"Hybrid",NA,"2"
"ANG351",-25.8319284479589,3.45867943197909,NA,"male",86.43682882,"Hybrid",NA,"2"
"ANG352",25.903545793368,-1.78083340190785,NA,"male",86.49084166,"Hybrid",NA,"1"
"ANG357",28.063418901725,-11.8165472436745,NA,"male",86.26608537,"Hybrid",NA,"1"
"ANG358",25.7052003834377,2.01175579681148,NA,"male",86.29463295,"Hybrid",NA,"1"
"ANG359",-26.5516498597243,-1.9738064439656,NA,"male",86.29332711,"Hybrid",NA,"2"
"ANG364",-24.8666663339283,-10.7993733442171,NA,"male",85.74198216,"Hybrid",NA,"2"
"ANG365",22.2536191174845,0.977851406432943,NA,"male",85.72771328,"Hybrid",NA,"1"
"ANG367",-27.3778760306266,-4.68772035419972,NA,"male",86.72232106,"Hybrid",NA,"2"
