"window","1","2","3","prop_x","prop_y","mean_dist"
1,11,9,5,0.62,0.38,42.87045763908
6,13,9,3,0.7,0.3,53.6305946012
11,13,9,3,0.7,0.3,56.0318209564
16,13,10,2,0.72,0.28,57.9658476328
21,12,12,1,0.72,0.28,59.5198475652
26,16,8,1,0.8,0.2,60.8930068916
31,13,10,2,0.72,0.28,62.16818893
36,11,12,2,0.68,0.32,63.4799617712
41,11,12,2,0.68,0.32,64.9429756596
46,10,14,1,0.68,0.32,66.4267534924
51,7,17,1,0.62,0.38,68.1328525452
56,8,16,1,0.64,0.36,69.6250690236
61,8,16,1,0.64,0.36,71.1078045516
66,10,14,1,0.68,0.32,73.3747007524
71,11,12,2,0.68,0.32,75.7968144264
76,12,10,3,0.68,0.32,78.2648279152
81,12,11,2,0.7,0.3,80.9127348312
86,13,10,2,0.72,0.28,83.359245004
91,12,10,3,0.68,0.32,84.7468894848
96,11,12,2,0.68,0.32,85.7754044528
101,11,12,2,0.68,0.32,86.2745792696
106,13,10,2,0.72,0.28,87.6380239056
111,16,7,2,0.78,0.22,89.513222496
116,16,8,1,0.8,0.2,91.6908191412
121,20,4,1,0.88,0.12,94.85529723
126,21,4,0,0.92,0.08,98.96956681
131,22,3,0,0.94,0.06,104.0736552892
136,21,4,0,0.92,0.08,112.1095631332
141,22,3,0,0.94,0.06,122.272994424
146,22,3,0,0.94,0.06,NA
