#java OrderMarkers2 map=Litt_map_LOD18_JS.txt data=- chromosome=1 numThreads=10 outputPhasedData=0 families=fam82_1 informativeMask=1 randSeed=5532443216015317169
#*** LG = 1 likelihood = -843.0613
#marker_number	male_position	female_position	( 0.0 )[	phased data]
Contig41410	13941	0.000	0.000	( 0 )
Contig39476	7044	44.018	0.000	( 0 )
Contig50369	6533	44.018	0.000	( 0 )
Contig50369	6516	44.018	0.000	( 0 )
Contig44209	65053	44.018	0.000	( 0 )
Contig1818	26437	44.018	0.000	( 0 )
Contig53942	29181	44.018	0.000	( 0 )
Contig2969	107991	44.018	0.000	( 0 )
Contig50369	6458	44.018	0.000	( 0 )
Contig41579	57921	44.018	0.000	( 0 )
Contig56970	56961	44.018	0.000	( 0 )
Contig74139	20857	44.018	0.000	( 0 )
Contig49629	13117	44.018	0.000	( 0 )
Contig39132	72439	44.018	0.000	( 0 )
Contig65875	51477	44.018	0.000	( 0 )
Contig4638	83998	44.018	0.000	( 0 )
Contig2969	93979	44.018	0.000	( 0 )
Contig240640	12218	44.018	0.000	( 0 )
Contig44209	65097	44.018	0.000	( 0 )
Contig44209	65101	44.018	0.000	( 0 )
Contig6386	2421	44.018	0.000	( 0 )
Contig39478	7858	44.018	0.000	( 0 )
Contig39282	6800	44.018	0.000	( 0 )
Contig49576	73888	44.018	0.000	( 0 )
Contig74139	20901	44.018	0.000	( 0 )
Contig41949	8906	44.018	0.000	( 0 )
Contig65875	51566	44.018	0.000	( 0 )
Contig4638	83897	44.018	0.000	( 0 )
Contig240640	12216	44.018	0.000	( 0 )
Contig74139	20823	44.018	0.000	( 0 )
Contig102	25382	44.018	0.000	( 0 )
Contig50464	40358	44.018	0.000	( 0 )
Contig70941	2460	44.018	0.000	( 0 )
Contig74139	20817	44.018	0.000	( 0 )
Contig52327	138828	44.018	0.000	( 0 )
Contig52327	138823	44.018	0.000	( 0 )
Contig4847	102186	44.018	0.000	( 0 )
Contig39476	6848	44.018	0.000	( 0 )
Contig56970	56976	44.018	0.000	( 0 )
Contig579	9220	44.018	0.000	( 0 )
Contig6386	2420	44.018	0.000	( 0 )
Contig70941	2395	44.018	0.000	( 0 )
Contig44644	31329	44.018	0.000	( 0 )
