#java OrderMarkers2 map=Litt_map_LOD18_JS.txt data=- chromosome=1 numThreads=10 outputPhasedData=0 families=fam93 informativeMask=1 randSeed=-5767141283041197282
#*** LG = 1 likelihood = -1148.7054
#marker_number	male_position	female_position	( 0.0 )[	phased data]
Contig42435	42275	0.000	0.000	( 0 )
Contig100589	5123	4.034	0.000	( 0 )
Contig43726	22545	4.816	0.000	( 0 )
Contig58020	19021	4.816	0.000	( 0 )
Contig43726	22575	4.816	0.000	( 0 )
Contig48271	8309	4.816	0.000	( 0 )
Contig47152	74740	4.816	0.000	( 0 )
Contig46987	128975	4.816	0.000	( 0 )
Contig1201	39935	4.816	0.000	( 0 )
Contig46134	10901	4.816	0.000	( 0 )
Contig73388	6634	4.816	0.000	( 0 )
Contig40053	21779	4.816	0.000	( 0 )
Contig1439	36116	4.816	0.000	( 0 )
Contig48088	42663	4.816	0.000	( 0 )
Contig10585	39097	4.816	0.000	( 0 )
Contig10585	37094	4.816	0.000	( 0 )
Contig3300	43927	4.816	0.000	( 0 )
Contig19380	3487	4.816	0.000	( 0 )
Contig39952	9800	4.816	0.000	( 0 )
Contig62849	1133	4.816	0.000	( 0 )
Contig54868	2837	4.816	0.000	( 0 )
Contig5899	89100	4.816	0.000	( 0 )
Contig47300	40279	4.816	0.000	( 0 )
Contig43552	12509	4.816	0.000	( 0 )
Contig3852	13800	4.816	0.000	( 0 )
Contig43094	32904	4.816	0.000	( 0 )
Contig10585	38895	4.816	0.000	( 0 )
Contig45253	19231	4.816	0.000	( 0 )
Contig552	115091	4.816	0.000	( 0 )
Contig2900	5263	4.816	0.000	( 0 )
Contig51815	25928	4.816	0.000	( 0 )
Contig42085	4266	4.816	0.000	( 0 )
Contig47106	169176	4.816	0.000	( 0 )
Contig58020	19152	4.816	0.000	( 0 )
Contig114241	2600	4.816	0.000	( 0 )
Contig190	8928	4.816	0.000	( 0 )
Contig100627	5554	4.816	0.000	( 0 )
Contig5899	89024	4.816	0.000	( 0 )
Contig60652	9024	4.816	0.000	( 0 )
Contig110558	18681	4.816	0.000	( 0 )
Contig87216	4792	4.816	0.000	( 0 )
Contig1882	18157	4.816	0.000	( 0 )
Contig190	14793	4.816	0.000	( 0 )
Contig82546	6965	4.816	0.000	( 0 )
Contig39952	9335	4.816	0.000	( 0 )
Contig47052	82171	4.816	0.000	( 0 )
Contig55997	21886	4.816	0.000	( 0 )
Contig43701	52451	4.816	0.000	( 0 )
Contig39952	9299	4.816	0.000	( 0 )
Contig56789	56907	4.816	0.000	( 0 )
Contig55997	21796	4.816	0.000	( 0 )
Contig48335	90225	4.816	0.000	( 0 )
Contig50165	66643	4.816	0.000	( 0 )
Contig52793	84906	4.816	0.000	( 0 )
Contig40643	10796	4.816	0.000	( 0 )
Contig39952	9763	4.816	0.000	( 0 )
Contig25335	12056	4.816	0.000	( 0 )
Contig190	14727	4.816	0.000	( 0 )
Contig70171	19128	4.816	0.000	( 0 )
Contig518	116394	4.816	0.000	( 0 )
Contig165	69678	4.816	0.000	( 0 )
Contig165	185912	4.816	0.000	( 0 )
Contig165	69427	4.816	0.000	( 0 )
Contig51724	86783	4.816	0.000	( 0 )
Contig50304	46509	4.816	0.000	( 0 )
Contig4777	37408	4.816	0.000	( 0 )
Contig2570	77512	4.816	0.000	( 0 )
Contig42285	35140	4.816	0.000	( 0 )
Contig4777	37551	4.816	0.000	( 0 )
Contig64854	4963	4.816	0.000	( 0 )
Contig82976	37155	4.816	0.000	( 0 )
Contig41352	46515	4.816	0.000	( 0 )
Contig2900	5670	4.816	0.000	( 0 )
Contig73388	4723	4.816	0.000	( 0 )
Contig7214	3601	4.816	0.000	( 0 )
Contig47106	169426	4.816	0.000	( 0 )
Contig52071	136395	4.816	0.000	( 0 )
Contig5081	43287	4.816	0.000	( 0 )
Contig82546	7234	4.816	0.000	( 0 )
Contig48271	8290	4.816	0.000	( 0 )
Contig1882	18075	4.816	0.000	( 0 )
Contig82546	8761	4.816	0.000	( 0 )
Contig39405	60438	4.816	0.000	( 0 )
Contig52793	85037	4.816	0.000	( 0 )
Contig42295	10802	4.816	0.000	( 0 )
Contig552	115067	4.816	0.000	( 0 )
Contig47106	169284	4.816	0.000	( 0 )
Contig43552	12629	4.816	0.000	( 0 )
Contig40305	180860	4.816	0.000	( 0 )
Contig2900	5067	4.816	0.000	( 0 )
Contig141918	4806	4.816	0.000	( 0 )
Contig39405	60600	4.816	0.000	( 0 )
Contig87216	4894	4.816	0.000	( 0 )
Contig56789	56976	4.816	0.000	( 0 )
Contig39066	23152	4.816	0.000	( 0 )
Contig40237	6988	4.816	0.000	( 0 )
Contig190	8884	4.816	0.000	( 0 )
Contig39952	11861	4.816	0.000	( 0 )
Contig10585	38958	4.816	0.000	( 0 )
Contig3300	44211	4.816	0.000	( 0 )
Contig73388	6058	4.816	0.000	( 0 )
Contig62282	76954	4.816	0.000	( 0 )
Contig73388	5638	4.816	0.000	( 0 )
Contig65373	4421	4.816	0.000	( 0 )
Contig47106	169794	4.816	0.000	( 0 )
Contig2900	4237	4.816	0.000	( 0 )
Contig46643	5886	4.816	0.000	( 0 )
Contig100169	2493	4.816	0.000	( 0 )
Contig69252	4397	4.816	0.000	( 0 )
Contig73388	6642	4.816	0.000	( 0 )
Contig40643	10224	4.816	0.000	( 0 )
Contig42285	29093	4.816	0.000	( 0 )
Contig42085	12879	4.816	0.000	( 0 )
Contig3300	44154	4.816	0.000	( 0 )
Contig73966	71159	4.816	0.000	( 0 )
Contig7172	8507	4.816	0.000	( 0 )
Contig41901	78788	4.816	0.000	( 0 )
Contig42285	29247	4.816	0.000	( 0 )
Contig41386	94298	4.816	0.000	( 0 )
Contig3300	43815	4.816	0.000	( 0 )
Contig56662	7792	4.816	0.000	( 0 )
Contig69920	12488	4.816	0.000	( 0 )
Contig114241	2547	4.816	0.000	( 0 )
Contig39222	84981	4.816	0.000	( 0 )
Contig4777	37571	4.816	0.000	( 0 )
Contig57017	12666	4.816	0.000	( 0 )
Contig73388	5402	4.816	0.000	( 0 )
Contig40229	32965	4.816	0.000	( 0 )
Contig3300	44623	4.816	0.000	( 0 )
Contig48088	42746	4.816	0.000	( 0 )
Contig57232	8084	4.816	0.000	( 0 )
Contig45253	19077	4.816	0.000	( 0 )
Contig45396	77438	4.816	0.000	( 0 )
Contig73388	7351	4.816	0.000	( 0 )
Contig647	63943	4.816	0.000	( 0 )
Contig69920	12379	4.816	0.000	( 0 )
Contig8769	26287	4.816	0.000	( 0 )
Contig4777	37410	4.816	0.000	( 0 )
Contig100169	2489	4.816	0.000	( 0 )
Contig73966	71175	4.816	0.000	( 0 )
