#java OrderMarkers2 map=Litt_map_LOD18_JS.txt data=- chromosome=1 numThreads=10 outputPhasedData=0 families=fam92_2 informativeMask=2 randSeed=2707994634865461539
#*** LG = 1 likelihood = -607.1963
#marker_number	male_position	female_position	( 0.0 )[	phased data]
Contig1882	18752	0.000	0.000	( 0 )
Contig8354	16573	0.000	0.000	( 0 )
Contig8354	16569	0.000	0.000	( 0 )
Contig1948	10955	0.000	0.000	( 0 )
Contig3131	37953	0.000	0.000	( 0 )
Contig8160	24676	0.000	0.000	( 0 )
Contig60345	45363	0.000	0.000	( 0 )
Contig46464	36276	0.000	0.000	( 0 )
Contig46464	36165	0.000	0.000	( 0 )
Contig3131	37958	0.000	0.000	( 0 )
Contig3131	37940	0.000	0.000	( 0 )
Contig54432	12467	0.000	0.000	( 0 )
Contig1882	18766	0.000	0.000	( 0 )
Contig8354	16621	0.000	0.000	( 0 )
Contig55639	59058	0.000	2.501	( 0 )
Contig63837	38689	0.000	2.501	( 0 )
Contig56970	57018	0.000	2.501	( 0 )
Contig46987	14776	0.000	2.501	( 0 )
Contig65887	54389	0.000	2.501	( 0 )
Contig56789	56889	0.000	2.501	( 0 )
Contig57351	20118	0.000	2.501	( 0 )
Contig6897	6507	0.000	2.501	( 0 )
Contig114241	2525	0.000	2.501	( 0 )
Contig44525	15143	0.000	2.501	( 0 )
Contig82546	7167	0.000	2.501	( 0 )
Contig3300	43324	0.000	2.501	( 0 )
Contig100589	4934	0.000	2.501	( 0 )
Contig73388	5052	0.000	2.501	( 0 )
Contig41386	11685	0.000	2.501	( 0 )
Contig56662	7763	0.000	2.501	( 0 )
Contig1437	44381	0.000	2.501	( 0 )
Contig1514	45262	0.000	2.501	( 0 )
Contig6784	12559	0.000	2.501	( 0 )
Contig1186	46247	0.000	2.501	( 0 )
Contig2900	4785	0.000	2.501	( 0 )
Contig69611	13303	0.000	2.501	( 0 )
Contig56970	56858	0.000	2.501	( 0 )
Contig45347	7595	0.000	2.501	( 0 )
Contig8160	24167	0.000	2.501	( 0 )
Contig51724	86706	0.000	2.501	( 0 )
Contig44552	16271	0.000	2.501	( 0 )
Contig44644	31329	0.000	2.501	( 0 )
Contig40218	52935	0.000	2.501	( 0 )
Contig40237	6937	0.000	2.501	( 0 )
Contig43726	22575	0.000	2.501	( 0 )
