#java OrderMarkers2 map=Litt_map_LOD18_JS.txt data=- chromosome=1 numThreads=10 outputPhasedData=0 families=fam81_1 informativeMask=1 randSeed=-8166000925173585379
#*** LG = 1 likelihood = -172.6156
#marker_number	male_position	female_position	( 0.0 )[	phased data]
Contig49637	8879	0.000	0.000	( 0 )
Contig39405	83720	0.000	0.000	( 0 )
Contig42435	42353	0.000	0.000	( 0 )
Contig70835	62801	0.000	0.000	( 0 )
Contig48335	90220	0.000	0.000	( 0 )
Contig48335	90207	0.000	0.000	( 0 )
Contig48335	90066	0.000	0.000	( 0 )
Contig42435	42244	0.000	0.000	( 0 )
Contig42435	42517	0.000	0.000	( 0 )
Contig575	41052	0.000	0.000	( 0 )
Contig43885	41067	0.000	0.000	( 0 )
Contig44212	20586	0.000	0.000	( 0 )
Contig5755	79153	0.000	0.000	( 0 )
Contig70835	62819	0.000	0.000	( 0 )
Contig70835	62800	0.000	0.000	( 0 )
Contig49459	1960	0.000	0.000	( 0 )
Contig575	41133	0.000	0.000	( 0 )
Contig73485	24133	0.000	0.000	( 0 )
Contig42671	20828	0.000	0.000	( 0 )
Contig5881	46885	0.000	0.000	( 0 )
Contig64854	4751	0.000	0.000	( 0 )
Contig39405	83625	0.000	0.000	( 0 )
Contig43885	40830	0.000	0.000	( 0 )
Contig73485	24154	0.000	0.000	( 0 )
Contig575	40950	0.000	0.000	( 0 )
Contig42435	42278	0.000	0.000	( 0 )
Contig38275	18088	4.766	0.000	( 0 )
Contig39952	11650	4.766	0.000	( 0 )
Contig40643	10004	4.766	0.000	( 0 )
Contig38275	102856	4.766	0.000	( 0 )
Contig11035	40788	4.766	0.000	( 0 )
Contig43701	52197	4.766	0.000	( 0 )
Contig5008	25182	4.766	0.000	( 0 )
Contig40643	80373	4.766	0.000	( 0 )
Contig50304	46499	4.766	0.000	( 0 )
Contig39952	11861	4.766	0.000	( 0 )
Contig38683	70031	4.766	0.000	( 0 )
Contig46586	13113	4.766	0.000	( 0 )
Contig39952	9335	4.766	0.000	( 0 )
Contig46586	13347	4.766	0.000	( 0 )
Contig50165	66666	4.766	0.000	( 0 )
Contig39952	12236	4.766	0.000	( 0 )
Contig11035	40876	4.766	0.000	( 0 )
Contig70171	19144	4.766	0.000	( 0 )
Contig38683	69810	4.766	0.000	( 0 )
Contig50304	46509	4.766	0.000	( 0 )
Contig110558	18672	4.766	0.000	( 0 )
Contig65887	54373	4.766	0.000	( 0 )
Contig65887	54557	4.766	0.000	( 0 )
Contig39952	13028	4.766	0.000	( 0 )
Contig70171	19128	4.766	0.000	( 0 )
Contig7172	8577	4.766	0.000	( 0 )
Contig7172	8655	4.766	0.000	( 0 )
Contig43701	52245	4.766	0.000	( 0 )
Contig38683	69832	4.766	0.000	( 0 )
Contig141918	4900	4.766	0.000	( 0 )
Contig7172	8431	4.766	0.000	( 0 )
Contig18559	3781	4.766	0.000	( 0 )
Contig39952	9898	4.766	0.000	( 0 )
Contig40643	80348	4.766	0.000	( 0 )
Contig5008	25322	4.766	0.000	( 0 )
Contig6548	71576	4.766	0.000	( 0 )
Contig48118	5110	4.766	0.000	( 0 )
Contig46464	36490	4.766	0.000	( 0 )
Contig46464	36165	4.766	0.000	( 0 )
Contig48118	5909	4.766	0.000	( 0 )
Contig50165	66631	4.766	0.000	( 0 )
Contig41196	799	4.766	0.000	( 0 )
Contig48118	5201	4.766	0.000	( 0 )
Contig39952	12336	4.766	0.000	( 0 )
Contig6548	71612	4.766	0.000	( 0 )
Contig65781	1049	4.766	0.000	( 0 )
Contig5008	25167	4.766	0.000	( 0 )
Contig40643	80302	4.766	0.000	( 0 )
