#java OrderMarkers2 map=Litt_map_LOD18_JS.txt data=- chromosome=1 numThreads=10 outputPhasedData=0 families=fam93 informativeMask=2 randSeed=1193928556225081271
#*** LG = 1 likelihood = -1263.3908
#marker_number	male_position	female_position	( 0.0 )[	phased data]
Contig60345	45256	0.000	0.000	( 0 )
Contig65875	51414	0.000	0.781	( 0 )
Contig56970	51601	0.000	0.781	( 0 )
Contig56970	51479	0.000	0.781	( 0 )
Contig56970	51609	0.000	0.781	( 0 )
Contig240640	12216	0.000	0.781	( 0 )
Contig41463	36556	0.000	0.781	( 0 )
Contig48803	129424	0.000	0.781	( 0 )
Contig4847	102181	0.000	0.781	( 0 )
Contig45284	66455	0.000	0.781	( 0 )
Contig56970	51526	0.000	0.781	( 0 )
Contig49880	20891	0.000	0.781	( 0 )
Contig47007	79102	0.000	0.781	( 0 )
Contig44525	7628	0.000	0.781	( 0 )
Contig135738	9495	0.000	0.781	( 0 )
Contig65875	51577	0.000	0.781	( 0 )
Contig2969	93983	0.000	0.781	( 0 )
Contig59460	3669	0.000	0.781	( 0 )
Contig49999	70248	0.000	0.781	( 0 )
Contig59685	3204	0.000	0.781	( 0 )
Contig70941	2224	0.000	0.781	( 0 )
Contig16127	17610	0.000	0.781	( 0 )
Contig47949	205161	0.000	0.781	( 0 )
Contig71409	28555	0.000	0.781	( 0 )
Contig40216	60846	0.000	0.781	( 0 )
Contig52698	84392	0.000	0.781	( 0 )
Contig60235	7734	0.000	0.781	( 0 )
Contig39282	6802	0.000	0.781	( 0 )
Contig40216	60826	0.000	0.781	( 0 )
Contig6897	6428	0.000	0.781	( 0 )
Contig39132	165306	0.000	0.781	( 0 )
Contig240640	12218	0.000	0.781	( 0 )
Contig45386	25217	0.000	0.781	( 0 )
Contig38297	25665	0.000	0.781	( 0 )
Contig73110	21465	0.000	0.781	( 0 )
Contig70941	2378	0.000	0.781	( 0 )
Contig41579	57829	0.000	0.781	( 0 )
Contig44644	31179	0.000	0.781	( 0 )
Contig70941	2395	0.000	0.781	( 0 )
Contig57351	20118	0.000	0.781	( 0 )
Contig74139	20760	0.000	0.781	( 0 )
Contig1722	10575	0.000	0.781	( 0 )
Contig47563	3835	0.000	0.781	( 0 )
Contig126660	7705	0.000	0.781	( 0 )
Contig39132	61466	0.000	0.781	( 0 )
Contig41579	49107	0.000	0.781	( 0 )
Contig41579	57921	0.000	0.781	( 0 )
Contig2620	39318	0.000	0.781	( 0 )
Contig39132	61517	0.000	0.781	( 0 )
Contig65373	4402	0.000	0.781	( 0 )
Contig60345	45376	0.000	0.781	( 0 )
Contig4847	102120	0.000	0.781	( 0 )
Contig48803	129492	0.000	0.781	( 0 )
Contig71852	2415	0.000	0.781	( 0 )
Contig39657	17512	0.000	0.781	( 0 )
Contig69611	13308	0.000	0.781	( 0 )
Contig39282	7032	0.000	0.781	( 0 )
Contig39282	6718	0.000	0.781	( 0 )
Contig53942	29401	0.000	0.781	( 0 )
Contig51711	12863	0.000	0.781	( 0 )
Contig59881	7703	0.000	0.781	( 0 )
Contig70941	2227	0.000	0.781	( 0 )
Contig47563	3812	0.000	0.781	( 0 )
Contig38276	9012	0.000	0.781	( 0 )
Contig3617	35020	0.000	0.781	( 0 )
Contig2969	93979	0.000	0.781	( 0 )
Contig39281	42027	0.000	0.781	( 0 )
Contig56066	9682	0.000	0.781	( 0 )
Contig43301	15330	0.000	0.781	( 0 )
Contig38297	25786	0.000	0.781	( 0 )
Contig6134	61883	0.000	0.781	( 0 )
Contig55699	19703	0.000	0.781	( 0 )
Contig60235	7786	0.000	0.781	( 0 )
Contig53942	29181	0.000	0.781	( 0 )
Contig1975	44030	0.000	0.781	( 0 )
Contig65875	51641	0.000	0.781	( 0 )
Contig60345	45269	0.000	0.781	( 0 )
Contig86618	2577	0.000	0.781	( 0 )
