LG	contig	pos	av	Mpos_majority	Mpos_min	Mpos_max	inf_min	orientation	rndm_orientation
6	Contig100	54036	60.254	60.254	60.254	60.254	60.199964	unk	neg
6	Contig100005	1442	47.3685	47.3685	47.3685	47.3685	47.367058	unk	pos
17	Contig100064	29077	36.0035	36.0035	36.0035	36.0035	35.974423	unk	neg
9	Contig100078	935	37.0725	37.0725	37.0725	37.0725	37.071565	unk	neg
7	Contig100088	20854	12.5715	12.5715	12.5715	12.5715	12.550646	unk	neg
4	Contig100090	2087	21.1535	21.1535	21.1535	21.1535	21.151413	unk	neg
15	Contig10010	32172	52.737	52.737	52.737	52.737	52.704828	unk	pos
15	Contig100134	20875	53.03	53.03	53.03	53.03	53.009125	unk	pos
1	Contig100148	8221	80.9515	80.9515	80.9515	80.9515	80.943279	unk	neg
12	Contig100169	2489	29.627	29.627	29.627	29.627	29.624511	unk	pos
12	Contig100209	6142	29.627	29.627	29.627	29.627	29.620858	unk	pos
7	Contig100233	1084	40.339	40.339	40.339	40.339	40.337916	unk	neg
6	Contig100243	3677	29.5845	29.5845	29.5845	29.5845	29.580823	unk	pos
15	Contig100289	10234	31.831	31.831	31.831	31.831	31.820766	unk	pos
15	Contig100295	10233	14.5488022113022	14.5488022113022	14.5488022113022	14.5488022113022	14.5385692113022	unk	pos
12	Contig100298	952	34.1835	34.1835	34.1835	34.1835	34.182548	unk	neg
4	Contig1003	21048	10.6485	10.6485	10.6485	10.6485	10.627452	unk	neg
16	Contig100320	16435	56.1665	56.1665	56.1665	56.1665	56.150065	unk	pos
10	Contig100348	16610	41.5745104215308	41.5745104215308	41.5745104215308	41.5745104215308	41.5579004215308	unk	pos
12	Contig100405	7329	60.235	60.235	60.235	60.235	60.227671	unk	pos
16	Contig100422	17376	45.1145	45.1145	45.1145	45.1145	45.097124	unk	pos
11	Contig10048	16261	53.1745	53.1745	53.1745	53.1745	53.158239	unk	pos
11	Contig100506	3771	52.908	52.908	52.908	52.908	52.904229	unk	pos
7	Contig100516	7572	5.5455	5.5455	5.5455	5.5455	5.537928	unk	neg
7	Contig100520	389	2.679	2.679	2.679	2.679	2.678611	unk	neg
6	Contig100536	7349	56.97	56.97	56.97	56.97	56.962651	unk	neg
3	Contig100590	12179	18.415	18.415	18.415	18.415	18.402821	unk	pos
9	Contig100614	17689	51.5515	51.5515	51.5515	51.5515	51.533811	unk	neg
12	Contig100627	5426	34.1835	34.1835	34.1835	34.1835	34.178074	unk	pos
10	Contig100637	6800	38.7485	38.7485	38.7485	38.7485	38.7417	unk	neg
9	Contig100694	6547	37.3825	37.3825	37.3825	37.3825	37.375953	unk	neg
17	Contig100699	35254	17.756	17.756	17.756	17.756	17.720746	unk	pos
1	Contig100704	8840	3.2645	3.2645	3.2645	3.2645	3.25566	unk	pos
7	Contig100708	597	15.2505	15.2505	15.2505	15.2505	15.249903	unk	neg
2	Contig100715	3311	48.8225	48.8225	48.8225	48.8225	48.819189	unk	pos
4	Contig100728	1157	42.9585	42.9585	42.9585	42.9585	42.957343	unk	pos
16	Contig100803	6946	3.4435	3.4435	3.4435	3.4435	3.436554	unk	neg
7	Contig100815	28216	12.5715	12.5715	12.5715	12.5715	12.543284	unk	pos
2	Contig100825	5626	0.6405	0.6405	0.6405	0.6405	0.634874	unk	pos
8	Contig100851	16089	46.2085	46.2085	46.2085	46.2085	46.192411	unk	pos
13	Contig100885	13010	0	0	0	0	0	unk	neg
3	Contig100887	6264	61.3595	61.3595	61.3595	61.3595	61.353236	unk	pos
6	Contig100902	21254	17.4365	17.4365	17.4365	17.4365	17.415246	unk	neg
9	Contig100907	739	29.4955	29.4955	29.4955	29.4955	29.494761	unk	pos
16	Contig100914	2420	13.992	13.992	13.992	13.992	13.98958	unk	pos
12	Contig100938	213	46.1125	46.1125	46.1125	46.1125	46.112287	unk	pos
