#java OrderMarkers2 map=Litt_map_LOD18_JS.txt data=- chromosome=1 numThreads=10 outputPhasedData=0 families=fam91_2 informativeMask=2 randSeed=-5765376880161659016
#*** LG = 1 likelihood = -181.4704
#marker_number	male_position	female_position	( 0.0 )[	phased data]
Contig6548	71635	0.000	0.000	( 0 )
Contig80054	54458	0.000	0.000	( 0 )
Contig64548	3682	0.000	46.913	( 0 )
Contig64548	3520	0.000	46.913	( 0 )
Contig70835	62801	0.000	46.913	( 0 )
Contig41410	13905	0.000	46.913	( 0 )
Contig41410	13837	0.000	46.913	( 0 )
Contig41410	13904	0.000	46.913	( 0 )
Contig41410	13893	0.000	46.913	( 0 )
Contig39538	87926	0.000	46.913	( 0 )
Contig39538	87898	0.000	46.913	( 0 )
Contig39538	87851	0.000	46.913	( 0 )
Contig70835	62800	0.000	46.913	( 0 )
Contig70835	62819	0.000	46.913	( 0 )
Contig46464	36165	0.000	62.028	( 0 )
Contig42548	42111	0.000	66.576	( 0 )
Contig42285	35152	0.000	66.576	( 0 )
Contig41974	22393	0.000	66.576	( 0 )
Contig575	41042	0.000	66.576	( 0 )
Contig42285	35194	0.000	66.576	( 0 )
Contig63655	75893	0.000	71.125	( 0 )
Contig59128	59743	0.000	92.497	( 0 )
Contig50238	6927	0.000	92.497	( 0 )
Contig50464	40363	0.000	92.497	( 0 )
Contig69611	13308	0.000	92.497	( 0 )
Contig50464	40237	0.000	92.497	( 0 )
Contig73110	21465	0.000	92.497	( 0 )
Contig130	25262	0.000	92.497	( 0 )
Contig41463	20738	0.000	92.497	( 0 )
Contig52698	84392	0.000	92.497	( 0 )
Contig6134	61766	0.000	92.497	( 0 )
Contig73966	71277	0.000	92.497	( 0 )
Contig73460	49775	0.000	92.497	( 0 )
Contig49880	20891	0.000	92.497	( 0 )
Contig59881	7661	0.000	92.497	( 0 )
Contig7096	133	0.000	92.497	( 0 )
Contig579	9220	0.000	92.497	( 0 )
Contig38836	123804	0.000	92.497	( 0 )
Contig59460	3490	0.000	92.497	( 0 )
Contig74139	20760	0.000	92.497	( 0 )
Contig132184	11450	0.000	92.497	( 0 )
Contig7013	666	0.000	92.497	( 0 )
Contig84294	1162	0.000	92.497	( 0 )
Contig58471	21118	0.000	92.497	( 0 )
Contig39132	61455	0.000	92.497	( 0 )
Contig47563	3835	0.000	92.497	( 0 )
Contig39282	6802	0.000	92.497	( 0 )
Contig52327	138828	0.000	92.497	( 0 )
Contig240640	12216	0.000	92.497	( 0 )
Contig65875	51477	0.000	92.497	( 0 )
Contig39281	42027	0.000	92.497	( 0 )
Contig59460	3662	0.000	92.497	( 0 )
Contig41463	36556	0.000	92.497	( 0 )
Contig53942	29401	0.000	92.497	( 0 )
